"","workerid","proliferate.condition","agent","followup_fails","item_name","item_presentation_condition","n_examples","object","speaker","predicted_probability_correct_answer","predicted_probability_duration","predicted_probability_is_correct","predicted_probability_response","character_arrival_correct_answer","character_arrival_duration","character_arrival_is_correct","character_arrival_response","freeform_followup_correct_answer","freeform_followup_duration","freeform_followup_is_correct","freeform_followup_response","name_identification_correct_answer","name_identification_duration","name_identification_is_correct","name_identification_response","generic_endorsement_correct_answer","generic_endorsement_duration","generic_endorsement_is_correct","generic_endorsement_response","botcaptcha_correct_answer","botcaptcha_duration","botcaptcha_response","botcaptcha_n_fails","sound_check_correct_answer","sound_check_duration","sound_check_response","num_fails","property","sound_check_is_correct","total_time_taken","error","perceived_character_knowledge_correct_answer","perceived_character_knowledge_duration","perceived_character_knowledge_is_correct","perceived_character_knowledge_response","object_images","exp_cond"
"18",173,"pedagogical-2","Monkey",0,"wug","pedagogical",2,"flower","tg",NA,6.875,"True",1,"been_while",65.762,TRUE,"been_while",NA,72.073,"True","You see a scientist there's been doing some research on a planet and he wants you to know you remember a couple of syntaxes.","wug",6.052,TRUE,"wug",NA,3.435,"True","yes","Elizabeth",24.669,"['Elizabeth']",0,"tiger",158.969,"['Tiger']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"19",174,"pedagogical-1","Tiger",0,"fep","pedagogical",1,"flower","tg",NA,7.678,"True",0.76,"been_while",6.82,TRUE,"been_while",NA,82.218,"True","A researcher showed a fep plant  and showed how purple petal come about on the plant.","fep",4.691,TRUE,"fep",NA,3.55,"True","yes","Mary",10.573,"['Mary']",0,"shadow",14.066,"['Shadow']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"20",175,"accidental-1","Monkey",1,"wug","accidental",1,"artifact","mh",NA,8.81,"True",0.7,"just_arrived",5.957,FALSE,"been_while",NA,27.346,"True","The monkey approached the wug and it squeaked","wug",4.12,TRUE,"wug",NA,2.867,"True","yes","Jessica",9.162,"['Jessica']",0,"tiger",8.925,"['Tiger']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"21",176,"accidental-2","Monkey",0,"dax","accidental",2,"bird","sb",NA,12.465,"True",0.75,"just_arrived",9.032,TRUE,"just_arrived",NA,23.592,"True","The new researcher who just arrived learned that daxes have green feathers.","dax",5.729,TRUE,"dax",NA,3.494,"True","yes","Patricia",14.575,"['Patricia']",0,"tiger",19.407,"['tiger']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
"22",177,"pedagogical-2","Monkey",0,"dax","pedagogical",2,"bird","tg",NA,23.031,"True",0.92,"been_while",11.788,TRUE,"been_while",NA,176.615,"True","I traveled to a distant planet to study and catalogue new plant and animal life.  I met a scientist who has been there longer and claims to be knowledgeable about the life there.   The new scientist showed me a pair of birds called ""dax"" and pointed out that they both had green feathers.","dax",3.912,TRUE,"dax",NA,4.596,"True","yes","Patricia",14.07,"['Patricia']",0,"tiger",12.718,"['tiger']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"23",178,"pedagogical-1","Elephant",0,"dax","pedagogical",1,"bird","tg",NA,12.988,"True",0.48,"been_while",5.249,TRUE,"been_while",NA,27.622,"True","The researcher pointed to a bird called a ""dax"" and observed its green feathers when it lifted its wings.","dax",3.832,TRUE,"dax",NA,4.869,"True","no","Patricia",40.28,"['Patricia ', 'Patricia']",1,"shadow",46.77,"['Shadow ', 'Shadow']",1,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"24",179,"accidental-1","Monkey",0,"wug","accidental",1,"artifact","mh",NA,38.119,"True",0.73,"just_arrived",22.621,TRUE,"just_arrived",NA,67.201,"True","Steps of continuity were seen here","wug",3.758,TRUE,"wug",NA,11.296,"True","yes","Elizabeth",79.355,"['Elizabeth']",0,"tiger",55.075,"['Tiger']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"25",181,"accidental-2","Tiger",0,"wug","accidental",2,"bird","tg",NA,12.277,"True",0.49,"just_arrived",6.951,TRUE,"just_arrived",NA,46.235,"True","The researcher walked upon two wugs, one wug lifted its wing revealing green feathers.","wug",6.189,TRUE,"wug",NA,3.395,"True","yes","Elizabeth",13.487,"['Elizabeth']",0,"tiger",12.858,"['Tiger']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
"26",182,"pedagogical-2","Sheep",0,"dax","pedagogical",2,"bird","sb",NA,21.263,"True",0.48,"been_while",17.947,TRUE,"been_while",NA,32.106,"True","The assistant scared a pair of Dax, and they showed that the pair seen have green underfeathers.","dax",5.043,TRUE,"dax",NA,5.119,"True","no","Sarah",9.772,"['Sarah']",0,"shadow",11.547,"['shadow']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"27",183,"accidental-1","Bear",0,"wug","accidental",1,"flower","mh",NA,11.386,"True",0.71,"just_arrived",6.997,TRUE,"just_arrived",NA,53.572,"True","I arrived at a faraway planet to analyze plants, animals, etc. A scientist that I met there discovered that the plant we came across was a ""wug."" We later learned that the ""wug"" has purple petals. ","wug",5.89,TRUE,"wug",NA,3.686,"True","yes","Patricia",11.19,"['Patricia']",0,"shadow",16.401,"['shadow']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"28",184,"pedagogical-1","Dog",0,"fep","pedagogical",1,"artifact","tg",NA,7.209,"True",0.43,"been_while",10.317,TRUE,"been_while",NA,28.065,"True","Its research about some things","fep",4.703,TRUE,"fep",NA,5.354,"True","yes","Susan",13.805,"['Susan']",0,"shadow",16.749,"['shadow']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"29",186,"pedagogical-2","Tiger",0,"fep","pedagogical",2,"bird","mh",NA,6.057,"True",0.98,"been_while",4.46,TRUE,"been_while",NA,28.408,"True","You went to another planet to do research about the plants, animals, etc. and a researcher showed you Feps, which are birds with green feathers.","fep",4.799,TRUE,"fep",NA,4.749,"True","yes","Susan",7.697,"['Susan']",0,"shadow",14.107,"['Shadow']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"30",187,"accidental-1","Dog",0,"dax","accidental",1,"bird","mh",NA,5.791,"True",1,"just_arrived",6.622,TRUE,"just_arrived",NA,42.262,"True","the researcher is on a new planet and knows nothing about the animals or planet.
he sees a ""Dax"", it makes a bird call, and he notices it has green feathers","dax",5.219,TRUE,"dax",NA,3.5,"True","yes","Linda",9.401,"['Linda']",0,"tiger",6.85,"['tiger']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"31",188,"accidental-2","Monkey",0,"dax","accidental",2,"flower","mh",NA,25.58,"True",0.88,"just_arrived",9.803,TRUE,"just_arrived",NA,20.466,"True","a new researcher came across the plat species Dax and realized they are purple","dax",5.513,TRUE,"dax",NA,3.817,"True","yes","Linda",17.86,"['Linda']",0,"shadow",27.962,"['shadow']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
"32",189,"pedagogical-2","Elephant",0,"dax","pedagogical",2,"bird","mh",NA,12.441,"True",0.99,"been_while",7.83,TRUE,"been_while",NA,36.279,"True","I arrived on an alien planet and met another scientist. They then proceeded to show me daxes, which have green feathers on the underside of their wings.","dax",16.191,TRUE,"dax",NA,3.406,"True","yes","Patricia",10.811,"['Patricia']",0,"shadow",42.925,"['Shadow']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"33",190,"pedagogical-1","Bear",0,"dax","pedagogical",1,"bird","mh",NA,16.689,"True",0.73,"been_while",10.28,TRUE,"been_while",NA,131.375,"True","In this experiment a scientist had just arrived on a planet. There they met up with another scientist who had been on the planet for a while. The experienced scientist showed the newly arrived scientist an animal called a dax. The dax had green feathers.","dax",7.33,TRUE,"dax",NA,7.108,"True","yes","Patricia",86.277,"['patricia']",0,"shadow",24.062,"['shadow']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"34",191,"accidental-2","Monkey",0,"fep","accidental",2,"bird","sb",NA,8.202,"True",0.97,"just_arrived",9.075,TRUE,"just_arrived",NA,14.039,"True","A new researchers came to this planet to study animals here","fep",4.695,TRUE,"fep",NA,6.001,"True","yes","Margaret",7.1,"['Margaret']",0,"tiger",20.383,"['Tiger']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
"35",192,"accidental-1","Dog",0,"fep","accidental",1,"artifact","mh",NA,9.534,"True",0.51,"just_arrived",6.378,TRUE,"just_arrived",NA,51.035,"True","In this experiment, I viewed a video of a dog that could speak. The dog is a new researcher on the planet and is not familiar with the plants, animals, or objects on this planet. The dog approaches a fep on a table. The fep looks like the cross-section of a purple onion. The fep squeaks, and the dog researcher is surprised.","fep",5.19,TRUE,"fep",NA,4.373,"True","yes","Margaret",7.305,"['Margaret']",0,"shadow",23.752,"['shadow']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"36",193,"accidental-2","Sheep",0,"dax","accidental",2,"artifact","tg",NA,7.744,"True",0.87,"just_arrived",6.629,TRUE,"just_arrived",NA,78.6,"True","There was a new sheep research who has come to visit my on a far away planet.
I am showing them two objects I found called Dax. The new research squeezed them and they squeaked. They didn't know that they squeaked ","dax",5.281,TRUE,"dax",NA,4.31,"True","yes","Sarah",13.958,"['Sarah']",0,"tiger",14.544,"['tiger']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
"37",194,"pedagogical-2","Sheep",0,"wug","pedagogical",2,"artifact","tg",NA,9.065,"True",1,"been_while",13.922,TRUE,"been_while",NA,86.502,"True","I was sent to a planet far away. When I arrived, I came across another scientist who stated they'd been studying the life of the planet for a while. They showed me a form called a wug that squeaked.","wug",5.696,TRUE,"wug",NA,7.44,"True","yes","Jessica",9.223,"['Jessica']",0,"tiger",15.761,"['tiger']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"38",195,"pedagogical-1","Bear",0,"fep","pedagogical",1,"artifact","tg",NA,6.201,"True",0.73,"been_while",5.633,TRUE,"been_while",NA,49.033,"True","I watched a teddy bear scientist show me a glorified dog toy called a ""fep"" and I was asked questions on our interaction.","fep",4.485,TRUE,"fep",NA,2.938,"True","yes","Patricia",11.017,"['Patricia']",0,"tiger",13.033,"['Tiger']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"39",196,"accidental-1","Bear",0,"fep","accidental",1,"artifact","sb",NA,7.757,"True",0.72,"just_arrived",7.5,TRUE,"just_arrived",NA,194.864,"True","I was asked questions about a scenario in which me and another researcher go to an alien planet.  ","fep",3.378,TRUE,"fep",NA,2.921,"True","yes","Patricia",11.367,"['Patricia']",0,"tiger",21.41,"['tiger']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"40",197,"accidental-2","Bear",0,"dax","accidental",2,"flower","tg",NA,9.982,"True",0.81,"just_arrived",5.905,TRUE,"just_arrived",NA,53.614,"True","In the experiment, we were communicating with a  researcher that came to the planet and had no prior knowledge about its organisms. And saw a plant called dax and was surprised by purple petals, as it had no prior knowledge to it. Then answered some questions checking what I had heard and read was correct. ","dax",3.134,TRUE,"dax",NA,3.349,"True","yes","Elizabeth",8.042,"['Elizabeth']",0,"shadow",8.418,"['shadow']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
"41",198,"pedagogical-2","Monkey",0,"wug","pedagogical",2,"flower","tg",NA,7.222,"True",0.89,"been_while",5.932,TRUE,"been_while",NA,61.801,"True","A new scientist met another researcher who has been doing experiments on the new planet for awhile. The researcher showed the scientists some plants called ""wugs"" that have purple pedals.","wug",4.44,TRUE,"wug",NA,2.871,"True","yes","Jessica",6.769,"['Jessica']",0,"shadow",10.625,"['shaddow', 'shadow']",1,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"42",199,"pedagogical-1","Monkey",0,"wug","pedagogical",1,"artifact","tg",NA,7.596,"True",0.82,"been_while",6.097,TRUE,"been_while",NA,21.713,"True","The monkey approached the wug and it squeaked without the wug being touched.","wug",4.945,TRUE,"wug",NA,3.398,"True","yes","Linda",4.597,"['Linda']",0,"shadow",9.226,"['shadow']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"43",200,"accidental-1","Elephant",0,"fep","accidental",1,"artifact","sb",NA,11.178,"True",0.62,"just_arrived",12.364,TRUE,"just_arrived",NA,91.897,"True","I was a scientist deployed on a faraway planet to study the objects there. I encountered another new scientist and we discovered a purple and white object called a ""fep"". The other researcher investigated and we found out that the fep we found made a squeaking sound. ","fep",6.617,TRUE,"fep",NA,6.3,"True","yes","Margaret",15.418,"['Margaret']",0,"shadow",13.938,"['Shadow']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"44",201,"accidental-2","Sheep",0,"wug","accidental",2,"bird","mh",NA,13.06,"True",0.76,"just_arrived",7.585,TRUE,"just_arrived",NA,65.868,"True","I imagined being a researcher who recently arrived at a new planet to study animals and other things. I observed a new animal, wug, that had green feathers. I then answered questions about wugs.","wug",5.281,TRUE,"wug",NA,3.856,"True","yes","Jessica",7.368,"['Jessica']",0,"shadow",16.967,"['Shadow']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
"45",202,"pedagogical-2","Elephant",0,"wug","pedagogical",2,"flower","sb",NA,9.05,"True",0.87,"been_while",6.778,TRUE,"been_while",NA,57.49,"True","I am a researcher exploring an alien plant for things like plants and objects. An elephant researcher already at the island is there to show me some of these things. She shows me plants called wugs that sprout purple flowers.","wug",3.514,TRUE,"wug",NA,3.222,"True","yes","Margaret",8.858,"['Margaret']",0,"tiger",11.092,"['tiger']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"46",203,"pedagogical-1","Sheep",0,"dax","pedagogical",1,"artifact","mh",NA,7.423,"True",0.91,"been_while",4.709,TRUE,"been_while",NA,19.432,"True","The researcher showed me a dax and showed me that it squeaks
","dax",3.364,TRUE,"dax",NA,2.461,"True","yes","Mary",10.461,"['Mary']",0,"tiger",13.557,"['Tiger']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"47",204,"accidental-1","Sheep",0,"wug","accidental",1,"artifact","mh",NA,5.057,"True",0.68,"just_arrived",8.266,TRUE,"just_arrived",NA,22.227,"True","About researher","wug",7.259,TRUE,"wug",NA,3.559,"True","yes","Mary",19.882,"['Mary']",0,"shadow",145.071,"['skyscraper', 'Shadow']",1,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"48",205,"accidental-2","Tiger",0,"wug","accidental",2,"artifact","sb",NA,6.689,"True",0.83,"just_arrived",8.434,TRUE,"just_arrived",NA,17.63,"True","new researcher came, saw wugs, squeezed it and it squeaked ","wug",3.519,TRUE,"wug",NA,2.126,"True","yes","Margaret",7.398,"['Margaret']",0,"shadow",7.691,"['shadow']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
"49",206,"pedagogical-2","Tiger",0,"dax","pedagogical",2,"artifact","tg",NA,20.256,"True",0.51,"been_while",4.916,TRUE,"been_while",NA,40.405,"True","The other researcher had been there a while and knew about animals on that planet.   The researcher showed me two daxes that squeaked.   ","dax",6.834,TRUE,"dax",NA,7.913,"True","yes","Patricia",9.698,"['Patricia']",0,"tiger",26.583,"['Tiger']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"50",207,"pedagogical-1","Tiger",0,"fep","pedagogical",1,"flower","mh",NA,13.034,"True",0.5,"been_while",8.218,TRUE,"been_while",NA,100.29,"True","When I arrived on the planet, I met a tiger who had been doing research there for some time. The tiger (I forget his name), guided me to a strange plant, which he referred to as a ""fep"". Then he asked me to watch as the fep blossomed with purple flowers.

After that, I was asked a series of questions about the interaction.","fep",4.143,TRUE,"fep",NA,8.603,"True","yes","Mary",7.616,"['Mary']",0,"tiger",14.515,"['tiger']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"51",208,"accidental-1","Bear",0,"dax","accidental",1,"bird","sb",NA,13.162,"True",0.8,"just_arrived",10.161,TRUE,"just_arrived",NA,42.986,"True","Bear scientist goes up to bird looking thing called a dax. Dax makes bird sound and has green feathers.","dax",5.342,TRUE,"dax",NA,6.714,"True","yes","Sarah",13.743,"['Sarah']",0,"tiger",15.91,"['Tiger']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"52",209,"accidental-2","Bear",0,"wug","accidental",2,"bird","tg",NA,7.868,"True",0.81,"just_arrived",8.281,TRUE,"just_arrived",NA,25.986,"True","The observer saw two wugs then noticed they had green feathers ","wug",6.489,TRUE,"wug",NA,3.521,"True","yes","Jessica",25.123,"['Jessica ', 'Jessica']",1,"tiger",12.169,"['Tiger']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
"53",210,"pedagogical-2","Sheep",1,"fep","pedagogical",2,"flower","sb",NA,4.352,"True",0.74,"been_while",9.882,FALSE,"just_arrived",NA,14.254,"True","They wanted to see how the petals would be purple","fep",3.33,TRUE,"fep",NA,2.709,"True","yes","Patricia",5.126,"['Patricia']",0,"tiger",6.877,"['Tiger']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"54",211,"pedagogical-1","Bear",0,"wug","pedagogical",1,"flower","mh",NA,20.209,"True",1,"been_while",9.44,TRUE,"been_while",NA,45.824,"True","I landed on another planet and met a scientist who had been there awhile and knew all about the plants, animals and other objects there. He showed me a wug and what a wug does. ","wug",8.45,TRUE,"wug",NA,6.291,"True","yes","Susan",13.474,"['Susan']",0,"tiger",23.39,"['tiger']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"55",212,"pedagogical-1","Monkey",0,"wug","pedagogical",1,"artifact","tg",NA,9.473,"True",0.83,"been_while",40.167,TRUE,"been_while",NA,96.737,"True","This experiment led some scientists to conduct research on a new planet and they got a Wug there","wug",9.44,TRUE,"wug",NA,9.167,"True","yes","Mary",18.516,"['mary']",0,"shadow",33.429,"['shadow']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"56",213,"accidental-1","Tiger",0,"fep","accidental",1,"bird","sb",NA,6.828,"True",0.71,"just_arrived",6.075,TRUE,"just_arrived",NA,5.408,"True","I have no idea.","fep",3.783,TRUE,"fep",NA,8.262,"True","no","Mary",10.184,"['Mary']",0,"shadow",55.976,"['shadow']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"57",214,"accidental-2","Elephant",0,"dax","accidental",2,"artifact","tg",NA,14.459,"True",0.71,"just_arrived",7.045,TRUE,"just_arrived",NA,96.985,"True","An anthromorphic elephant was a new researcher who had no clue what organisms and objects existed in her vicinity.","dax",4.968,TRUE,"dax",NA,7.646,"True","yes","Mary",7.295,"['Mary']",0,"tiger",21.38,"['Tiger']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
