"","workerid","proliferate.condition.x","agent","background","item_name","item_presentation_condition","n_examples","object","property","speaker","trial_num.x","trial_time_in_seconds.x","trial_type","error.x","proliferate.condition.y","correct_answer","is_correct","prompt","response","response_time_in_seconds","response_type","trial_num.y","trial_time_in_seconds.y","error.y"
"21",25,"pedagogical-1","",NA,"","",NA,"","","",0,8.543,"introduction",NA,"pedagogical-1",NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",1,8.665,"slider",1,23.901,NA
"22",25,"pedagogical-1","Tiger",4,"fep","pedagogical",1,"artifact","squeaking","tg",1,NA,"trial",NA,"pedagogical-1",NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",1,8.665,"slider",1,23.901,NA
"23",26,"accidental-1","",NA,"","",NA,"","","",0,5.811,"introduction",NA,"accidental-1",NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.48,11.998,"slider",1,26.542,NA
"24",26,"accidental-1","Sheep",10,"blicket","accidental",1,"artifact","squeaking","sb",1,NA,"trial",NA,"accidental-1",NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.48,11.998,"slider",1,26.542,NA
"25",27,"accidental-1","",NA,"","",NA,"","","",0,4.689,"introduction",NA,"accidental-1",NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.6,14.357,"slider",1,25.702,NA
"26",27,"accidental-1","Dog",4,"fep","accidental",1,"flower","purple petals","sb",1,NA,"trial",NA,"accidental-1",NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.6,14.357,"slider",1,25.702,NA
"27",28,"pedagogical-1","",NA,"","",NA,"","","",0,4.861,"introduction",NA,"pedagogical-1",NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.66,14.994,"slider",1,24.117,NA
"28",28,"pedagogical-1","Tiger",2,"blicket","pedagogical",1,"flower","purple petals","sb",1,NA,"trial",NA,"pedagogical-1",NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.66,14.994,"slider",1,24.117,NA
"29",29,"pedagogical-1","",NA,"","",NA,"","","",0,19.709,"introduction",NA,"pedagogical-1",NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.37,26.402,"slider",1,34.354,NA
"30",29,"pedagogical-1","Bear",1,"dax","accidental",1,"bird","green feathers","sb",1,NA,"trial",NA,"pedagogical-1",NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.37,26.402,"slider",1,34.354,NA
"31",30,"accidental-1","",NA,"","",NA,"","","",0,15.674,"introduction",NA,"accidental-1",NA,"True","Imagine that you come across another dax. What are the chances that it squeaks?",0.81,8.938,"slider",1,26.94,NA
"32",30,"accidental-1","Tiger",2,"dax","accidental",1,"artifact","squeaking","sb",1,NA,"trial",NA,"accidental-1",NA,"True","Imagine that you come across another dax. What are the chances that it squeaks?",0.81,8.938,"slider",1,26.94,NA
"33",31,"pedagogical-1","",NA,"","",NA,"","","",0,9.954,"introduction",NA,"pedagogical-1",NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.69,11.721,"slider",1,25.778,NA
"34",31,"pedagogical-1","Elephant",8,"fep","pedagogical",1,"artifact","squeaking","tg",1,NA,"trial",NA,"pedagogical-1",NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.69,11.721,"slider",1,25.778,NA
"35",32,"accidental-1","",NA,"","",NA,"","","",0,10.042,"introduction",NA,"accidental-1",NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.72,13.345,"slider",1,27.988,NA
"36",32,"accidental-1","Elephant",5,"fep","accidental",1,"artifact","squeaking","sb",1,NA,"trial",NA,"accidental-1",NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.72,13.345,"slider",1,27.988,NA
"37",33,"pedagogical-1","",NA,"","",NA,"","","",0,8.482,"introduction",NA,"pedagogical-1",NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.81,11.051,"slider",1,28.024,NA
"38",33,"pedagogical-1","Tiger",6,"fep","pedagogical",1,"flower","purple petals","tg",1,NA,"trial",NA,"pedagogical-1",NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.81,11.051,"slider",1,28.024,NA
"39",34,"accidental-1","",NA,"","",NA,"","","",0,7.295,"introduction",NA,"accidental-1",NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.99,6.071,"slider",1,26.235,NA
"40",34,"accidental-1","Monkey",9,"fep","accidental",1,"flower","purple petals","mh",1,NA,"trial",NA,"accidental-1",NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.99,6.071,"slider",1,26.235,NA
"41",35,"pedagogical-1","",NA,"","",NA,"","","",0,4.753,"introduction",NA,"pedagogical-1",NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.48,9.054,"slider",1,58.131,NA
"42",35,"pedagogical-1","Monkey",3,"fep","pedagogical",1,"artifact","squeaking","tg",1,NA,"trial",NA,"pedagogical-1",NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.48,9.054,"slider",1,58.131,NA
