workerid,proliferate.condition,correct_answer,num_fails,responses,trial_time_in_seconds,trial_type,error
103,naive-2,Elizabeth,0,['Elizabeth'],9.786,botcaptcha,
103,naive-2,shadow,0,['Shadow'],18.413,sound_response,
82,naive-2,Linda,0,['Linda'],37.439,botcaptcha,
82,naive-2,shadow,0,['Shadow'],111.09,sound_response,
63,naive-2,Jessica,0,['Jessica'],5.951,botcaptcha,
63,naive-2,tiger,0,['tiger'],8.785,sound_response,
59,naive-2,Barbara,0,['barbara'],13.98,botcaptcha,
59,naive-2,tiger,0,['tiger'],30.792,sound_response,
118,naive-2,Susan,0,['Susan'],9.614,botcaptcha,
118,naive-2,tiger,0,['tiger'],15.441,sound_response,
55,naive-2,Susan,0,['Susan'],6.903,botcaptcha,
55,naive-2,shadow,0,['shadow'],36.751,sound_response,
105,naive-2,Margaret,0,['Margaret'],8.792,botcaptcha,
105,naive-2,tiger,0,['Tiger'],19.239,sound_response,
115,naive-2,Elizabeth,0,['Elizabeth'],9.477,botcaptcha,
115,naive-2,tiger,0,['tiger'],7.731,sound_response,
79,naive-2,Sarah,0,['Sarah'],13.216,botcaptcha,
79,naive-2,tiger,0,['tiger'],9.126,sound_response,
94,naive-2,Linda,0,['Linda'],9.097,botcaptcha,
94,naive-2,tiger,0,['Tiger'],20.026,sound_response,
74,naive-2,Susan,0,['Susan'],15.117,botcaptcha,
74,naive-2,shadow,0,['Shadow'],35.379,sound_response,
111,naive-2,Susan,1,"['NO idea', 'Susan']",34.607,botcaptcha,
111,naive-2,tiger,1,"['skyscraper', 'Tiger']",48.59,sound_response,
119,naive-1,Linda,0,['Linda'],8.861,botcaptcha,
119,naive-1,shadow,0,['shadow'],31.562,sound_response,
98,naive-1,Mary,0,['Mary'],24.745,botcaptcha,
98,naive-1,tiger,0,['tiger'],42.309,sound_response,
83,naive-1,Barbara,0,['Barbara'],8.28,botcaptcha,
83,naive-1,tiger,0,['tiger'],21.317,sound_response,
91,naive-1,Jessica,0,['Jessica'],8.015,botcaptcha,
91,naive-1,shadow,0,['shadow'],18.221,sound_response,
54,naive-1,Sarah,0,['Sarah'],161.273,botcaptcha,
54,naive-1,tiger,0,['Tiger'],37.424,sound_response,
114,naive-1,Susan,0,['Susan'],16.083,botcaptcha,
114,naive-1,shadow,0,['shadow'],30.01,sound_response,
95,naive-1,Jennifer,0,['Jennifer'],6.352,botcaptcha,
95,naive-1,tiger,0,['tiger'],5.142,sound_response,
62,naive-1,Margaret,0,['Margaret'],7.536,botcaptcha,
62,naive-1,tiger,0,['tiger'],7.734,sound_response,
110,naive-1,Susan,0,['Susan'],17.599,botcaptcha,
110,naive-1,shadow,0,['shadow'],55.023,sound_response,
78,naive-1,Barbara,0,['Barbara'],9.274,botcaptcha,
78,naive-1,tiger,0,['tiger'],11.107,sound_response,
70,naive-1,Jessica,0,['Jessica'],12.999,botcaptcha,
70,naive-1,shadow,0,['Shadow'],75.507,sound_response,
122,naive-1,Margaret,0,['Margaret'],33.973,botcaptcha,
122,naive-1,tiger,0,['tiger'],10.568,sound_response,
86,naive-1,Linda,0,['Linda'],12.304,botcaptcha,
86,naive-1,shadow,1,"['Shadow ', 'shadow']",100.405,sound_response,
107,naive-1,Patricia,0,['patricia'],6.946,botcaptcha,
107,naive-1,shadow,0,['shadow'],11.693,sound_response,
50,naive-1,Mary,0,['Mary'],6.371,botcaptcha,
50,naive-1,tiger,0,['Tiger'],10.916,sound_response,
58,naive-1,Margaret,0,['Margaret'],22.39,botcaptcha,
58,naive-1,tiger,0,['tiger'],116.023,sound_response,
66,naive-1,Elizabeth,0,['Elizabeth'],10.649,botcaptcha,
66,naive-1,shadow,0,['shadow'],25.02,sound_response,
75,naive-1,Barbara,0,['Barbara'],13.404,botcaptcha,
75,naive-1,shadow,0,['shadow'],63.437,sound_response,
36,accidental-1,,,,,,Field catch_trials not present for participant!
