workerid,proliferate.condition,prolific_participant_id,error
57,accidental-2,57950da04a84da00014c5dbb,
93,accidental-2,5df961cb53e8466f17606ae1,
139,accidental-2,5c6fb7c3c114eb00018b3154,
85,accidental-2,5f6166e6d710061060865e1f,
134,accidental-2,5eeb412dde2ce12142b917b3,
136,accidental-2,5f29dfe7512c2817f7957e1a,
65,accidental-2,5ecffcc0d483170a794928e9,
109,accidental-2,5bec7fcc02de270001ad3379,
129,accidental-2,5f524e7407f3574c7f05fa45,
81,accidental-2,5f0d6c9bb43cfb0182a9d464,
138,accidental-2,5c2dae2110677f0001dd1137,
101,accidental-2,5f1e9b5ffe1f70029559f24c,
77,accidental-2,5c5fc0136467ac0001b80940,
137,accidental-2,5f5b9cf74e9b77305baa87cc,
133,accidental-2,5b5b715192d8320001510a11,
106,accidental-2,5dcca03aa91395930545c76c,
125,accidental-2,5f76121ac0c40e0564245b70,
73,accidental-2,5f46e381abde430be466b887,
69,accidental-2,5f7ce6c004767d1a439d4fdb,
49,accidental-2,5ded4bab1edb794081b3378e,
132,accidental-2,5c5fc78e96dff400013607a5,
113,accidental-2,57a9281c82f7f90001eeacef,
97,accidental-2,5e3b6e78d437ca3971eb99bc,
61,accidental-2,5ec4feee144f4f40ecc6d880,
131,accidental-2,5e1a7114a90da52e206de7ea,
117,accidental-2,5eeacbcbb570dc1ab706417a,
121,accidental-2,A2I37S7GQR6X1H,
130,accidental-2,5c38b2194a45dc0001654e0c,
149,pedagogical-1,5d620e2c81e64c001a580927,
19,pedagogical-1,5f7a35995e760b137848252b,
31,pedagogical-1,5e165ca7b199e4c3e12c57e6,
33,pedagogical-1,5f13786da54419389fc40b64,
21,pedagogical-1,5be6e6081781990001f7f492,
23,pedagogical-1,5ba57ef589460700015fb40f,
145,pedagogical-1,597a66525ea29d000126efbe,
25,pedagogical-1,5f7ee321ca4a551d1731120e,
143,pedagogical-1,5e38e79295ff561112eae457,
35,pedagogical-1,5dc1d46eb63adf12ee73b125,
141,pedagogical-1,5e14d563c4e155ae93907ae1,
29,pedagogical-1,5f3ea489f7e4390fff090f48,
14,pedagogical-1,TEST,
18,pedagogical-1,5f3ae0a33ccf7478ecf76ce2,
146,pedagogical-1,5d6fd81dba96c60001bc2592,
28,pedagogical-1,5f526f5ed7f57c518e81142c,
