workerid,proliferate.condition,correct_answer,is_correct,prompt,response,response_time_in_seconds,response_type,trial_num,error
76,pedagogical-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],6.189,grid,2,
76,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,5.95,mc,3,
76,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,yes_preknowledge,5.891,mc,4,
76,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.","The tiger squeezed a ""dax"" and it let off a squeeze noise",52.359,freeform,5,
104,pedagogical-2,NA,True,Would you say the following is true?,1,2.439,slider,1,
104,pedagogical-2,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],2.927,grid,2,
104,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,3.315,mc,3,
104,pedagogical-2,yes_preknowledge,False,Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,no_preknowledge,4.128,mc,4,
104,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",The bear touched a plant and it sprouted flowers. The flowers were purple and the plants were called feps.,17.417,freeform,5,
84,pedagogical-2,NA,True,Would you say the following is true?,0.8,9.263,slider,1,
84,pedagogical-2,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],5.006,grid,2,
84,pedagogical-2,been_while,False,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,18.537,mc,3,
84,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that blickets could have green feathers before you observed it together?,yes_preknowledge,11.76,mc,4,
84,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",Concluding the probability of all blickets having green feathers and questions about the researcher,56.743,freeform,5,
124,pedagogical-2,NA,True,Would you say the following is true?,0.88,5.953,slider,1,
124,pedagogical-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],5.218,grid,2,
124,pedagogical-2,been_while,False,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,11.024,mc,3,
124,pedagogical-2,yes_preknowledge,False,Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,no_preknowledge,11.594,mc,4,
124,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",The researcher assumed the daxes had gree feathers because the he had two of them that were similar.,60.777,freeform,5,
67,naive-2,NA,True,Would you say the following is true?,0.79,10.104,slider,1,
67,naive-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],3.917,grid,2,
67,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,7.253,mc,3,
67,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,no_preknowledge,7.956,mc,4,
67,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.","A new researcher got to a remote planet and observed two specimens known as daxes. They observed one and saw it had purple petals, then another that had purple petals. However, it's very possible that daxes come in other colors as well, as the sample size of 2 makes it very hard to tell for certain. This is like flipping a coin and landing on heads twice despite there existing a tails on the other side. That doesn't mean heads is the only outcome, much like purple petals may not be the only kind of dax.",139.81,freeform,5,
99,naive-2,NA,True,Would you say the following is true?,0.49,9.813,slider,1,
99,naive-2,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],7.364,grid,2,
99,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,20.368,mc,3,
99,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,no_preknowledge,9.555,mc,4,
99,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.","I was tasked to visit a faraway planet and catalog animals, plants, etc. I met a fellow researcher who knew nothing about feps. We uncovered the cloth and revealed how feps look; they both had purple pedals.",109.205,freeform,5,
126,naive-2,NA,True,Would you say the following is true?,0.74,3.238,slider,1,
126,naive-2,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],6.14,grid,2,
126,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,3.569,mc,3,
126,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that blickets could have purple petals before you observed it together?,no_preknowledge,5.369,mc,4,
126,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",we saw an experiment and were required to guess probability of the experiment repeating.,32.551,freeform,5,
89,naive-2,NA,True,Would you say the following is true?,1,5.14,slider,1,
89,naive-2,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],7.174,grid,2,
89,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,18.523,mc,3,
89,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that feps could squeak before you observed it together?,no_preknowledge,11.097,mc,4,
89,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",I was a scientist that was sent to a faraway planet to do research on. I met another scientist when I got to the planet and it was there where we both learned about feps and how they squeaked.,73.391,freeform,5,
123,naive-2,NA,True,Would you say the following is true?,0.85,7.337,slider,1,
123,naive-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],5.384,grid,2,
123,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,6.618,mc,3,
123,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,no_preknowledge,6.641,mc,4,
123,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.","The researcher found two Daxes on a table. He took a look, and discovered (one at a time) that they both had purple petals. ",39.729,freeform,5,
51,naive-2,NA,True,Would you say the following is true?,0.81,11.427,slider,1,
51,naive-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],5.319,grid,2,
51,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,6.327,mc,3,
51,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,no_preknowledge,6.811,mc,4,
51,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",I’m assuming it is a memory test? I’m not sure. We had to pinpoint what the researcher saw while also remembering that they are new to the planet. ,52.392,freeform,5,
71,naive-2,NA,True,Would you say the following is true?,1,14.425,slider,1,
71,naive-2,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],47.586,grid,2,
71,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,100.639,mc,3,
71,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that blickets could have purple petals before you observed it together?,no_preknowledge,61.52,mc,4,
71,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",there was a new researcher and come to learn new thing there.,64.308,freeform,5,
87,naive-2,NA,True,Would you say the following is true?,0.57,6.54,slider,1,
87,naive-2,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],4.722,grid,2,
87,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,7.485,mc,3,
87,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,no_preknowledge,7.746,mc,4,
87,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.","A sheep showed me two fep plants, both with purple petals. I was asked, based off this, whether all feps hold this quality.",47.205,freeform,5,
103,naive-2,NA,True,Would you say the following is true?,0.86,5.084,slider,1,
103,naive-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],6.327,grid,2,
103,naive-2,just_arrived,False,Please refer to the image below. How long has this character been doing research on this planet?,been_while,18.75,mc,3,
103,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,no_preknowledge,6.154,mc,4,
103,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",The cat human had two daxes covered and then he unveiled each one and found it it has green colored wings,48.226,freeform,5,
82,naive-2,NA,True,Would you say the following is true?,0.98,6.879,slider,1,
82,naive-2,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],27.667,grid,2,
82,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,45.954,mc,3,
82,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that blickets could have purple petals before you observed it together?,no_preknowledge,33.511,mc,4,
82,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",A researcher comes from other planet. And he want to know about blicket . And he open it and finally see purple petals.,234.746,freeform,5,
63,naive-2,NA,True,Would you say the following is true?,0.69,7.052,slider,1,
63,naive-2,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],6.142,grid,2,
63,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,6.834,mc,3,
63,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that feps could squeak before you observed it together?,no_preknowledge,5.195,mc,4,
63,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.","Myself and another researcher examined FEPs as the other researcher revealed them. They both squeaked, and the other researcher took verbal note of it.",38.203,freeform,5,
59,naive-2,NA,True,Would you say the following is true?,0.87,11.7,slider,1,
59,naive-2,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],14.566,grid,2,
59,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,10.502,mc,3,
59,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that blickets could have purple petals before you observed it together?,no_preknowledge,8.157,mc,4,
59,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",He discovered some new plants,29.444,freeform,5,
118,naive-2,NA,True,Would you say the following is true?,0.92,5.869,slider,1,
118,naive-2,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],8.089,grid,2,
118,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,8.587,mc,3,
118,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,no_preknowledge,7.67,mc,4,
118,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",A researcher discovered feps have green feathers.,24.351,freeform,5,
55,naive-2,NA,True,Would you say the following is true?,0.53,4.867,slider,1,
55,naive-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],3.514,grid,2,
55,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,3.792,mc,3,
55,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,no_preknowledge,3.197,mc,4,
55,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",an elephant person found something called a dax on another planet and it squeaks.,24.421,freeform,5,
105,naive-2,NA,True,Would you say the following is true?,1,5.934,slider,1,
105,naive-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],4.163,grid,2,
105,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,7.699,mc,3,
105,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,no_preknowledge,5.382,mc,4,
105,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",The researcher uncovered the daxes and seemed to be surprised by their ability to squeak. I was then asked questions about the event.,51.538,freeform,5,
115,naive-2,NA,True,Would you say the following is true?,1,4.392,slider,1,
115,naive-2,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],5.036,grid,2,
115,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,6.963,mc,3,
115,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,no_preknowledge,5.652,mc,4,
115,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",A new explorer and myself looked at feps and learned that they were birds with green feathers.,65.101,freeform,5,
79,naive-2,NA,True,Would you say the following is true?,0.9,5.321,slider,1,
79,naive-2,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],5.226,grid,2,
79,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,6.211,mc,3,
79,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that blickets could squeak before you observed it together?,no_preknowledge,5.734,mc,4,
79,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.","We observed the squeaking of the blickets under the blankets
",23.382,freeform,5,
94,naive-2,NA,True,Would you say the following is true?,0.65,3.593,slider,1,
94,naive-2,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],5.845,grid,2,
94,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,5.095,mc,3,
94,naive-2,no_preknowledge,False,Please refer to the image below. Did this character know that a blicket could have green feathers before you observed it together?,yes_preknowledge,12.892,mc,4,
94,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",Being a new researcher I was introduced to new species and I got to know about blicket and that they have green feathers,56.56,freeform,5,
74,naive-2,NA,True,Would you say the following is true?,0.99,9.99,slider,1,
74,naive-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],8.966,grid,2,
74,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,13.682,mc,3,
74,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,no_preknowledge,10.476,mc,4,
74,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",The researcher uncovered 2 Daxes and they squeaked,56.994,freeform,5,
111,naive-2,NA,True,Would you say the following is true?,0.97,7.549,slider,1,
111,naive-2,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],10.128,grid,2,
111,naive-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,9.479,mc,3,
111,naive-2,no_preknowledge,True,Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,no_preknowledge,10.671,mc,4,
111,naive-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",A researcher came to our planet and he searching something new grass,42.732,freeform,5,
119,naive-1,NA,True,Would you say the following is true?,0.97,5.265,slider,1,
119,naive-1,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],6.793,grid,2,
119,naive-1,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,6.181,mc,3,
119,naive-1,no_preknowledge,True,Please refer to the image below. Did this character know that a blicket could have green feathers before you observed it together?,no_preknowledge,9.189,mc,4,
119,naive-1,NA,True,"In the text box below, please describe briefly what happened in this experiment.",A foreign observer discovered a Blicket has green feathers.,15.625,freeform,5,
98,naive-1,NA,True,Would you say the following is true?,0.98,8.54,slider,1,
98,naive-1,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],15.352,grid,2,
98,naive-1,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,18.469,mc,3,
98,naive-1,no_preknowledge,True,Please refer to the image below. Did this character know that a blicket could have purple petals before you observed it together?,no_preknowledge,13.447,mc,4,
98,naive-1,NA,True,"In the text box below, please describe briefly what happened in this experiment.",They found a blicket which was purple petal.,113.698,freeform,5,
83,naive-1,NA,True,Would you say the following is true?,0.57,5.333,slider,1,
83,naive-1,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],8.379,grid,2,
83,naive-1,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,5.403,mc,3,
83,naive-1,no_preknowledge,True,Please refer to the image below. Did this character know that a dax could have purple petals before you observed it together?,no_preknowledge,5.844,mc,4,
83,naive-1,NA,True,"In the text box below, please describe briefly what happened in this experiment.","The character had just arrived on the planet and unveiled a dax, which had purple petals.",31.872,freeform,5,
91,naive-1,NA,True,Would you say the following is true?,0.99,3.473,slider,1,
91,naive-1,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],5.922,grid,2,
91,naive-1,just_arrived,False,Please refer to the image below. How long has this character been doing research on this planet?,been_while,10.212,mc,3,
91,naive-1,no_preknowledge,False,Please refer to the image below. Did this character know that a blicket could have purple petals before you observed it together?,yes_preknowledge,4.711,mc,4,
91,naive-1,NA,False,"In the text box below, please describe briefly what happened in this experiment.",,1.465,freeform,5,
54,naive-1,NA,True,Would you say the following is true?,1,14.171,slider,1,
54,naive-1,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],25.136,grid,2,
54,naive-1,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,36.958,mc,3,
54,naive-1,no_preknowledge,True,Please refer to the image below. Did this character know that a blicket could have purple petals before you observed it together?,no_preknowledge,18,mc,4,
54,naive-1,NA,True,"In the text box below, please describe briefly what happened in this experiment.",learn new language/ words.,46.679,freeform,5,
114,naive-1,NA,True,Would you say the following is true?,0.78,7.951,slider,1,
114,naive-1,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],7.604,grid,2,
114,naive-1,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,20.184,mc,3,
114,naive-1,no_preknowledge,True,Please refer to the image below. Did this character know that a fep could squeak before you observed it together?,no_preknowledge,3.971,mc,4,
114,naive-1,NA,True,"In the text box below, please describe briefly what happened in this experiment.",seeing the attention span of people taking the survey,12.323,freeform,5,
95,naive-1,NA,True,Would you say the following is true?,0.77,4.809,slider,1,
95,naive-1,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],3.022,grid,2,
95,naive-1,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,3.243,mc,3,
95,naive-1,yes_preknowledge,True,Please refer to the image below. Did this character know that a blicket could have green feathers before you observed it together?,yes_preknowledge,5.607,mc,4,
95,naive-1,NA,True,"In the text box below, please describe briefly what happened in this experiment.","In the experiment, I am a scientist sent to a faraway planet to catalogue things like plants and life. I in particular am a scientist who has been there for awhile and I knew what to expect from a blicket.",58.824,freeform,5,
62,naive-1,NA,True,Would you say the following is true?,1,15.911,slider,1,
62,naive-1,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],4.659,grid,2,
62,naive-1,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,9.796,mc,3,
62,naive-1,no_preknowledge,True,Please refer to the image below. Did this character know that a dax could have green feathers before you observed it together?,no_preknowledge,9.872,mc,4,
62,naive-1,NA,True,"In the text box below, please describe briefly what happened in this experiment.","A researcher landed on a distant planet and discovered something called a ""dax"" which had green feathers",54.304,freeform,5,
110,naive-1,NA,True,Would you say the following is true?,0.69,14.532,slider,1,
