workerid,proliferate.condition,correct_answer,is_correct,prompt,response,response_time_in_seconds,response_type,trial_num,trial_time_in_seconds,error
124,pedagogical-2,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.78,7.013,slider,1,42.869,
67,naive-2,NA,True,Imagine that you come across another dax. What are the chances that it has purple petals?,0.51,17.194,slider,1,35.394,
99,naive-2,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.8,63.848,slider,1,41.06,
126,naive-2,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.62,4.35,slider,1,36.141,
89,naive-2,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.99,11.359,slider,1,40.122,
123,naive-2,NA,True,Imagine that you come across another dax. What are the chances that it has purple petals?,1,6.488,slider,1,38.688,
51,naive-2,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.87,12.567,slider,1,42.793,
71,naive-2,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.73,29.745,slider,1,86.332,
87,naive-2,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.48,9.936,slider,1,174.714,
103,naive-2,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.74,9.122,slider,1,37.272,
82,naive-2,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.99,15.162,slider,1,51.752,
63,naive-2,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.48,19.447,slider,1,37.086,
59,naive-2,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.94,8.23,slider,1,36.614,
118,naive-2,NA,True,Imagine that you come across another fep. What are the chances that it has green feathers?,0.89,10.382,slider,1,37.2,
55,naive-2,NA,True,Imagine that you come across another dax. What are the chances that it squeaks?,0.54,9.617,slider,1,34.49,
105,naive-2,NA,True,Imagine that you come across another dax. What are the chances that it squeaks?,0.85,6.721,slider,1,37.977,
115,naive-2,NA,True,Imagine that you come across another fep. What are the chances that it has green feathers?,1,5.163,slider,1,94.141,
79,naive-2,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.67,6.754,slider,1,37.131,
94,naive-2,NA,True,Imagine that you come across another blicket. What are the chances that it has green feathers?,0.79,8.417,slider,1,29.534,
74,naive-2,NA,True,Imagine that you come across another dax. What are the chances that it squeaks?,0.48,13.573,slider,1,41.154,
111,naive-2,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.88,21.982,slider,1,48.103,
119,naive-1,NA,True,Imagine that you come across another blicket. What are the chances that it has green feathers?,0.87,11.505,slider,1,29.251,
98,naive-1,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,1,11.367,slider,1,34.108,
83,naive-1,NA,True,Imagine that you come across another dax. What are the chances that it has purple petals?,0.6,11.519,slider,1,31.224,
91,naive-1,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.99,6.198,slider,1,75.474,
54,naive-1,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.48,23.171,slider,1,58.004,
114,naive-1,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.77,5.769,slider,1,27.044,
95,naive-1,NA,True,Imagine that you come across another blicket. What are the chances that it has green feathers?,1,8.573,slider,1,24.224,
62,naive-1,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.76,15.503,slider,1,33.794,
110,naive-1,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.48,10.268,slider,1,31.131,
78,naive-1,NA,True,Imagine that you come across another dax. What are the chances that it has purple petals?,0.49,10.183,slider,1,31.846,
70,naive-1,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.71,18.11,slider,1,32.949,
122,naive-1,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.77,6.335,slider,1,25.536,
86,naive-1,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.49,18.992,slider,2,56.452,
107,naive-1,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.78,7.779,slider,1,27.3,
50,naive-1,NA,True,Imagine that you come across another dax. What are the chances that it squeaks?,0.84,5.553,slider,1,26.501,
58,naive-1,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.93,7.576,slider,1,28.783,
66,naive-1,NA,True,Imagine that you come across another fep. What are the chances that it has green feathers?,0.88,8.2,slider,1,28.547,
75,naive-1,NA,True,Imagine that you come across another blicket. What are the chances that it has green feathers?,0.92,15.97,slider,1,31.059,
36,accidental-1,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.65,15.931,slider,1,25.305,
15,accidental-1,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.48,8.089,slider,1,25.24,
150,accidental-1,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.66,11.335,slider,1,27.904,
144,accidental-1,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.89,9.508,slider,1,33.003,
34,accidental-1,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.99,6.071,slider,1,26.235,
148,accidental-1,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.51,7.08,slider,1,26.526,
17,accidental-1,NA,True,Imagine that you come across another dax. What are the chances that it has purple petals?,0.48,26.676,slider,1,26.848,
142,accidental-1,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.39,6.722,slider,1,25.76,
20,accidental-1,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.87,4.661,slider,1,24.564,
30,accidental-1,NA,True,Imagine that you come across another dax. What are the chances that it squeaks?,0.81,8.938,slider,1,26.94,
27,accidental-1,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.6,14.357,slider,1,25.702,
140,accidental-1,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.69,7.664,slider,1,24.77,
26,accidental-1,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.48,11.998,slider,1,26.542,
32,accidental-1,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.72,13.345,slider,1,27.988,
147,accidental-1,NA,True,Imagine that you come across another dax. What are the chances that it has purple petals?,0.87,8.652,slider,1,43.922,
24,accidental-1,NA,True,Imagine that you come across another blicket. What are the chances that it has green feathers?,0.57,6.49,slider,1,31.455,
22,accidental-1,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.73,14.175,slider,1,26.212,
90,accidental-2,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.84,9.933,slider,2,55.945,
53,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.68,7.467,slider,2,49.775,
135,accidental-2,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.71,9.199,slider,2,53.822,
57,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.75,7.298,slider,2,53.661,
93,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it has green feathers?,0.86,8.448,slider,2,53.409,
139,accidental-2,NA,True,Imagine that you come across another fep. What are the chances that it has green feathers?,0.75,11.639,slider,2,51.871,
85,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it has green feathers?,0.6,8.826,slider,2,290.221,
134,accidental-2,NA,True,Imagine that you come across another fep. What are the chances that it has green feathers?,0.83,8.202,slider,2,52.722,
136,accidental-2,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.62,12.76,slider,2,58.97,
65,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it has green feathers?,0.61,14.135,slider,2,51.225,
109,accidental-2,NA,True,Imagine that you come across another dax. What are the chances that it squeaks?,1,21.518,slider,2,195.574,
129,accidental-2,NA,True,Imagine that you come across another fep. What are the chances that it has green feathers?,0.99,7.259,slider,2,52.634,
81,accidental-2,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,1,7.972,slider,2,75.503,
138,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.9,4.981,slider,2,51.728,
101,accidental-2,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.36,30.016,slider,2,58.079,
77,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.9,9.048,slider,2,51.869,
137,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it has green feathers?,1,14.744,slider,2,69.566,
133,accidental-2,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.9,7.244,slider,2,54.497,
106,accidental-2,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.81,11.191,slider,2,52.963,
125,accidental-2,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.75,5.231,slider,2,51.037,
73,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.97,9.59,slider,2,55.158,
69,accidental-2,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.81,7.762,slider,2,48.497,
49,accidental-2,NA,True,Imagine that you come across another dax. What are the chances that it squeaks?,0.83,78.124,slider,2,48.482,
132,accidental-2,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.72,14.35,slider,2,86.923,
113,accidental-2,NA,True,Imagine that you come across another dax. What are the chances that it has purple petals?,1,8.253,slider,2,56.928,
97,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.86,9.147,slider,2,49.316,
61,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it has green feathers?,0.74,10.02,slider,2,49.739,
131,accidental-2,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.88,15.744,slider,2,50.032,
117,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.75,5.494,slider,2,48.343,
121,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.72,27.524,slider,2,67.98,
130,accidental-2,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.67,6.914,slider,2,49.237,
149,pedagogical-1,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.97,7.602,slider,1,26.202,
19,pedagogical-1,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.99,6.43,slider,1,23.988,
31,pedagogical-1,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.69,11.721,slider,1,25.778,
33,pedagogical-1,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.81,11.051,slider,1,28.024,
21,pedagogical-1,NA,True,Imagine that you come across another dax. What are the chances that it has purple petals?,0.9,5.853,slider,1,24.426,
23,pedagogical-1,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.99,4.619,slider,1,21.884,
145,pedagogical-1,NA,True,Imagine that you come across another fep. What are the chances that it has green feathers?,0.85,4.708,slider,1,23.444,
25,pedagogical-1,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,1,8.665,slider,1,23.901,
143,pedagogical-1,NA,True,Imagine that you come across another dax. What are the chances that it squeaks?,0.93,7.387,slider,1,24.619,
35,pedagogical-1,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.48,9.054,slider,1,58.131,
141,pedagogical-1,NA,True,Imagine that you come across another fep. What are the chances that it has green feathers?,0.59,12.788,slider,1,60.61,
29,pedagogical-1,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.37,26.402,slider,1,34.354,
14,pedagogical-1,NA,True,Imagine that you come across another blicket. What are the chances that it squeaks?,0.92,3.52,slider,1,20.799,
18,pedagogical-1,NA,True,Imagine that you come across another dax. What are the chances that it has purple petals?,0.7,16.092,slider,1,30.176,
146,pedagogical-1,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.5,10.244,slider,1,31.013,
28,pedagogical-1,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.66,14.994,slider,1,24.117,
