workerid,proliferate.condition,agent,background,correct_answer,followup_name,grid_labels,item_name,item_presentation_condition,n_examples,object,options,prompt,property,response_type,show_generic,show_object,show_scene,slide_num,slider_label_l,slider_label_r,speaker,type,error
364,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
419,generic,Bear,5,,,,,generic,,,,,,,,,,1,,,mh,agent_intro,
419,generic,Bear,5,,,,"['dax', 'daxes']",generic,1,"['bird', 'bird02', 'green feathers']",,,,,,,,2,,,mh,state_generic,
419,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a dax. What are the chances that it has green feathers?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
419,generic,,,dax,name_identification,"['nar', 'vicket', 'blus', 'yem', 'zobby', 'dax']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
419,generic,,,NA,generic_endorsement,,"['dax', 'daxes']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,5,,,,followup,
419,generic,Bear,5,been_while,character_arrival,,"['dax', 'daxes']",generic,1,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
419,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
435,generic,Sheep,3,,,,,generic,,,,,,,,,,1,,,sb,agent_intro,
435,generic,Sheep,3,,,,"['dax', 'daxes']",generic,1,"['flower', 'flower01', 'purple petals']",,,,,,,,2,,,sb,state_generic,
435,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a dax. What are the chances that it has purple petals?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
435,generic,,,dax,name_identification,"['nar', 'dax', 'vicket', 'blus', 'zobby', 'yem']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
435,generic,,,NA,generic_endorsement,,"['dax', 'daxes']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,5,,,,followup,
435,generic,Sheep,3,been_while,character_arrival,,"['dax', 'daxes']",generic,1,"['flower', 'flower01', 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
435,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
381,generic,Sheep,1,,,,,generic,,,,,,,,,,1,,,mh,agent_intro,
381,generic,Sheep,1,,,,"['wug', 'wugs']",generic,1,"['flower', 'flower01', 'purple petals']",,,,,,,,2,,,mh,state_generic,
381,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a wug. What are the chances that it has purple petals?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
381,generic,,,wug,name_identification,"['yem', 'wug', 'vicket', 'blus', 'zobby', 'nar']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
381,generic,,,NA,generic_endorsement,,"['wug', 'wugs']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,5,,,,followup,
381,generic,Sheep,1,been_while,character_arrival,,"['wug', 'wugs']",generic,1,"['flower', 'flower01', 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
381,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
406,generic,Dog,5,,,,,generic,,,,,,,,,,1,,,mh,agent_intro,
406,generic,Dog,5,,,,"['dax', 'daxes']",generic,1,"['bird', 'bird02', 'green feathers']",,,,,,,,2,,,mh,state_generic,
406,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a dax. What are the chances that it has green feathers?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
406,generic,,,dax,name_identification,"['nar', 'yem', 'zobby', 'dax', 'vicket', 'blus']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
406,generic,,,NA,generic_endorsement,,"['dax', 'daxes']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,5,,,,followup,
406,generic,Dog,5,been_while,character_arrival,,"['dax', 'daxes']",generic,1,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
406,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
326,generic,Tiger,7,,,,,generic,,,,,,,,,,1,,,mh,agent_intro,
326,generic,Tiger,7,,,,"['fep', 'feps']",generic,1,"['flower', 'flower01', 'purple petals']",,,,,,,,2,,,mh,state_generic,
326,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a fep. What are the chances that it has purple petals?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
326,generic,,,fep,name_identification,"['zobby', 'blus', 'fep', 'yem', 'nar', 'vicket']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
326,generic,,,NA,generic_endorsement,,"['fep', 'feps']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,5,,,,followup,
326,generic,Tiger,7,been_while,character_arrival,,"['fep', 'feps']",generic,1,"['flower', 'flower01', 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
326,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
304,generic,Bear,3,,,,,generic,,,,,,,,,,1,,,sb,agent_intro,
304,generic,Bear,3,,,,"['wug', 'wugs']",generic,1,"['bird', 'bird02', 'green feathers']",,,,,,,,2,,,sb,state_generic,
304,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a wug. What are the chances that it has green feathers?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
304,generic,,,wug,name_identification,"['yem', 'blus', 'wug', 'zobby', 'nar', 'vicket']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
304,generic,,,NA,generic_endorsement,,"['wug', 'wugs']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,5,,,,followup,
304,generic,Bear,3,been_while,character_arrival,,"['wug', 'wugs']",generic,1,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
304,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
346,generic,Sheep,9,,,,,generic,,,,,,,,,,1,,,mh,agent_intro,
346,generic,Sheep,9,,,,"['dax', 'daxes']",generic,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,,2,,,mh,state_generic,
346,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a dax. What are the chances that it squeaks?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
346,generic,,,dax,name_identification,"['dax', 'blus', 'nar', 'yem', 'zobby', 'vicket']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
346,generic,,,NA,generic_endorsement,,"['dax', 'daxes']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,5,,,,followup,
346,generic,Sheep,9,been_while,character_arrival,,"['dax', 'daxes']",generic,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
346,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
310,generic,Bear,8,,,,,generic,,,,,,,,,,1,,,tg,agent_intro,
310,generic,Bear,8,,,,"['wug', 'wugs']",generic,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,,2,,,tg,state_generic,
310,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a wug. What are the chances that it squeaks?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
310,generic,,,wug,name_identification,"['nar', 'wug', 'vicket', 'blus', 'yem', 'zobby']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
310,generic,,,NA,generic_endorsement,,"['wug', 'wugs']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,5,,,,followup,
310,generic,Bear,8,been_while,character_arrival,,"['wug', 'wugs']",generic,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
310,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
321,generic,Bear,5,,,,,generic,,,,,,,,,,1,,,mh,agent_intro,
321,generic,Bear,5,,,,"['fep', 'feps']",generic,1,"['flower', 'flower01', 'purple petals']",,,,,,,,2,,,mh,state_generic,
321,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a fep. What are the chances that it has purple petals?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
321,generic,,,fep,name_identification,"['zobby', 'blus', 'fep', 'vicket', 'yem', 'nar']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
321,generic,,,NA,generic_endorsement,,"['fep', 'feps']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,5,,,,followup,
321,generic,Bear,5,been_while,character_arrival,,"['fep', 'feps']",generic,1,"['flower', 'flower01', 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
321,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
382,generic,Elephant,2,,,,,generic,,,,,,,,,,1,,,tg,agent_intro,
382,generic,Elephant,2,,,,"['fep', 'feps']",generic,1,"['bird', 'bird02', 'green feathers']",,,,,,,,2,,,tg,state_generic,
382,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a fep. What are the chances that it has green feathers?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
382,generic,,,fep,name_identification,"['yem', 'vicket', 'fep', 'zobby', 'blus', 'nar']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
382,generic,,,NA,generic_endorsement,,"['fep', 'feps']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,5,,,,followup,
382,generic,Elephant,2,been_while,character_arrival,,"['fep', 'feps']",generic,1,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
382,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
339,generic,Elephant,2,,,,,generic,,,,,,,,,,1,,,tg,agent_intro,
339,generic,Elephant,2,,,,"['wug', 'wugs']",generic,1,"['flower', 'flower01', 'purple petals']",,,,,,,,2,,,tg,state_generic,
339,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a wug. What are the chances that it has purple petals?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
339,generic,,,wug,name_identification,"['vicket', 'yem', 'blus', 'nar', 'zobby', 'wug']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
339,generic,,,NA,generic_endorsement,,"['wug', 'wugs']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,5,,,,followup,
339,generic,Elephant,2,been_while,character_arrival,,"['wug', 'wugs']",generic,1,"['flower', 'flower01', 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
339,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
388,generic,Monkey,8,,,,,generic,,,,,,,,,,1,,,tg,agent_intro,
388,generic,Monkey,8,,,,"['fep', 'feps']",generic,1,"['flower', 'flower01', 'purple petals']",,,,,,,,2,,,tg,state_generic,
388,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a fep. What are the chances that it has purple petals?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
388,generic,,,fep,name_identification,"['zobby', 'yem', 'blus', 'nar', 'vicket', 'fep']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
388,generic,,,NA,generic_endorsement,,"['fep', 'feps']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,5,,,,followup,
388,generic,Monkey,8,been_while,character_arrival,,"['fep', 'feps']",generic,1,"['flower', 'flower01', 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
388,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
399,generic,Elephant,9,,,,,generic,,,,,,,,,,1,,,tg,agent_intro,
399,generic,Elephant,9,,,,"['dax', 'daxes']",generic,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,,2,,,tg,state_generic,
399,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a dax. What are the chances that it squeaks?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
399,generic,,,dax,name_identification,"['vicket', 'nar', 'zobby', 'yem', 'dax', 'blus']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
399,generic,,,NA,generic_endorsement,,"['dax', 'daxes']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,5,,,,followup,
399,generic,Elephant,9,been_while,character_arrival,,"['dax', 'daxes']",generic,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
399,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
444,generic,Bear,4,,,,,generic,,,,,,,,,,1,,,mh,agent_intro,
444,generic,Bear,4,,,,"['fep', 'feps']",generic,1,"['flower', 'flower01', 'purple petals']",,,,,,,,2,,,mh,state_generic,
444,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a fep. What are the chances that it has purple petals?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
444,generic,,,fep,name_identification,"['zobby', 'vicket', 'blus', 'nar', 'yem', 'fep']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
444,generic,,,NA,generic_endorsement,,"['fep', 'feps']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,5,,,,followup,
444,generic,Bear,4,been_while,character_arrival,,"['fep', 'feps']",generic,1,"['flower', 'flower01', 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
444,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
413,generic,Elephant,10,,,,,generic,,,,,,,,,,1,,,tg,agent_intro,
413,generic,Elephant,10,,,,"['dax', 'daxes']",generic,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,,2,,,tg,state_generic,
413,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a dax. What are the chances that it squeaks?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
413,generic,,,dax,name_identification,"['yem', 'dax', 'zobby', 'nar', 'vicket', 'blus']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
413,generic,,,NA,generic_endorsement,,"['dax', 'daxes']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,5,,,,followup,
413,generic,Elephant,10,been_while,character_arrival,,"['dax', 'daxes']",generic,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
413,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
374,generic,Elephant,6,,,,,generic,,,,,,,,,,1,,,tg,agent_intro,
374,generic,Elephant,6,,,,"['fep', 'feps']",generic,1,"['bird', 'bird02', 'green feathers']",,,,,,,,2,,,tg,state_generic,
374,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a fep. What are the chances that it has green feathers?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
374,generic,,,fep,name_identification,"['blus', 'fep', 'zobby', 'yem', 'nar', 'vicket']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
374,generic,,,NA,generic_endorsement,,"['fep', 'feps']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,5,,,,followup,
374,generic,Elephant,6,been_while,character_arrival,,"['fep', 'feps']",generic,1,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
374,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
450,generic,Tiger,7,,,,,generic,,,,,,,,,,1,,,sb,agent_intro,
450,generic,Tiger,7,,,,"['fep', 'feps']",generic,1,"['flower', 'flower01', 'purple petals']",,,,,,,,2,,,sb,state_generic,
450,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a fep. What are the chances that it has purple petals?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
450,generic,,,fep,name_identification,"['blus', 'fep', 'vicket', 'yem', 'nar', 'zobby']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
450,generic,,,NA,generic_endorsement,,"['fep', 'feps']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,5,,,,followup,
450,generic,Tiger,7,been_while,character_arrival,,"['fep', 'feps']",generic,1,"['flower', 'flower01', 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
450,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
380,generic,Dog,2,,,,,generic,,,,,,,,,,1,,,sb,agent_intro,
380,generic,Dog,2,,,,"['fep', 'feps']",generic,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,,2,,,sb,state_generic,
380,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a fep. What are the chances that it squeaks?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
380,generic,,,fep,name_identification,"['nar', 'zobby', 'yem', 'vicket', 'blus', 'fep']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
380,generic,,,NA,generic_endorsement,,"['fep', 'feps']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,5,,,,followup,
380,generic,Dog,2,been_while,character_arrival,,"['fep', 'feps']",generic,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
380,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
429,generic,Sheep,6,,,,,generic,,,,,,,,,,1,,,sb,agent_intro,
429,generic,Sheep,6,,,,"['dax', 'daxes']",generic,1,"['bird', 'bird02', 'green feathers']",,,,,,,,2,,,sb,state_generic,
429,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a dax. What are the chances that it has green feathers?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
429,generic,,,dax,name_identification,"['yem', 'dax', 'blus', 'zobby', 'nar', 'vicket']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
429,generic,,,NA,generic_endorsement,,"['dax', 'daxes']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,5,,,,followup,
429,generic,Sheep,6,been_while,character_arrival,,"['dax', 'daxes']",generic,1,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
429,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
354,generic,Elephant,5,,,,,generic,,,,,,,,,,1,,,sb,agent_intro,
354,generic,Elephant,5,,,,"['fep', 'feps']",generic,1,"['bird', 'bird02', 'green feathers']",,,,,,,,2,,,sb,state_generic,
354,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a fep. What are the chances that it has green feathers?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
354,generic,,,fep,name_identification,"['vicket', 'yem', 'nar', 'fep', 'zobby', 'blus']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
354,generic,,,NA,generic_endorsement,,"['fep', 'feps']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,5,,,,followup,
354,generic,Elephant,5,been_while,character_arrival,,"['fep', 'feps']",generic,1,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
354,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
401,generic,Tiger,6,,,,,generic,,,,,,,,,,1,,,sb,agent_intro,
401,generic,Tiger,6,,,,"['wug', 'wugs']",generic,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,,2,,,sb,state_generic,
401,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a wug. What are the chances that it squeaks?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
