workerid,proliferate.condition,correct_answer,duration,is_correct,name,num_fails,prompt,response,response_type,type,error
754,pedagogical-2,fep,5.257,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
754,pedagogical-2,NA,6.088,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
754,pedagogical-2,NA,5.512,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,yes,mc,followup,
754,pedagogical-2,been_while,5.775,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
754,pedagogical-2,NA,38.984,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","A ""scientist"" character introduced me to a fictional plant, indicating that it has purple petals. I was asked to evaluate my certainty about that plant having purple petals.",freeform,followup,
740,pedagogical-2,Sarah,8.577,,botcaptcha,0,"Thomas says to Sarah: ""It's a beautiful day, isn't it?"" Who is Thomas talking to?",['Sarah'],freeform,attention,
740,pedagogical-2,tiger,13.492,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Tiger,freeform,attention,
740,pedagogical-2,,10.176,,,,,,,introduction,
740,pedagogical-2,NA,10.442,True,predicted_probability,,Imagine that you come across another fep. What are the chances that it has green feathers?,1,slider,followup,
740,pedagogical-2,fep,5.273,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
740,pedagogical-2,NA,2.749,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
740,pedagogical-2,NA,11.842,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,yes,mc,followup,
740,pedagogical-2,been_while,7.534,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
740,pedagogical-2,NA,98.554,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","In the experiment, you were being shown around by another researcher on a different planet where I was taken to see feps which had green feathers ",freeform,followup,
780,pedagogical-2,Sarah,6.945,,botcaptcha,0,"Michael says to Sarah: ""It's a beautiful day, isn't it?"" Who is Michael talking to?",['Sarah'],freeform,attention,
780,pedagogical-2,shadow,21.74,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
780,pedagogical-2,,1.502,,,,,,,introduction,
780,pedagogical-2,NA,5.53,True,predicted_probability,,Imagine that you come across another dax. What are the chances that it squeaks?,0.34,slider,followup,
780,pedagogical-2,dax,3.012,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
780,pedagogical-2,NA,2.467,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
780,pedagogical-2,NA,6.907,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,yes,mc,followup,
780,pedagogical-2,been_while,4.845,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
780,pedagogical-2,NA,37.289,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",I was shown objects on an alien planet by a researcher that was a bear. Then I was asked what the object was and if it squeaked.,freeform,followup,
698,pedagogical-2,Barbara,25.044,,botcaptcha,0,"William says to Barbara: ""It's a beautiful day, isn't it?"" Who is William talking to?",['Barbara'],freeform,attention,
698,pedagogical-2,shadow,42.65,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
698,pedagogical-2,,29.616,,,,,,,introduction,
698,pedagogical-2,NA,12.163,True,predicted_probability,,Imagine that you come across another wug. What are the chances that it squeaks?,0.99,slider,followup,
698,pedagogical-2,wug,8.596,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,followup,
698,pedagogical-2,NA,9.763,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
698,pedagogical-2,NA,16.128,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,yes,mc,followup,
698,pedagogical-2,been_while,17.034,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
698,pedagogical-2,NA,84.418,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","In this experiment the subject was testing a product called ""Wug.""   When squeezing the Wugs they both made a squeaking sound.",freeform,followup,
702,pedagogical-2,Elizabeth,5.191,,botcaptcha,0,"Charles says to Elizabeth: ""It's a beautiful day, isn't it?"" Who is Charles talking to?",['Elizabeth'],freeform,attention,
702,pedagogical-2,shadow,7.271,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
702,pedagogical-2,,3.288,,,,,,,introduction,
702,pedagogical-2,NA,4.196,True,predicted_probability,,Imagine that you come across another wug. What are the chances that it squeaks?,0.98,slider,followup,
702,pedagogical-2,wug,2.821,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,followup,
702,pedagogical-2,NA,2.072,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
702,pedagogical-2,NA,3.854,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,yes,mc,followup,
702,pedagogical-2,been_while,5.048,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
702,pedagogical-2,NA,18.36,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",A researcher who had been on the planet for a while introduced me to wugs and showed me that they squeak.,freeform,followup,
766,pedagogical-2,Mary,8.269,,botcaptcha,0,"James says to Mary: ""It's a beautiful day, isn't it?"" Who is James talking to?",['Mary'],freeform,attention,
766,pedagogical-2,shadow,22.762,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Shadow,freeform,attention,
766,pedagogical-2,,7.137,,,,,,,introduction,
766,pedagogical-2,NA,9.543,True,predicted_probability,,Imagine that you come across another wug. What are the chances that it squeaks?,0.48,slider,followup,
766,pedagogical-2,wug,5.658,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,followup,
766,pedagogical-2,NA,10.716,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
766,pedagogical-2,NA,7.848,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,yes,mc,followup,
766,pedagogical-2,been_while,10.132,False,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",just_arrived,mc,followup,
766,pedagogical-2,NA,9.949,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",Test of memory,freeform,followup,
792,pedagogical-2,Patricia,10.331,,botcaptcha,0,"Joseph says to Patricia: ""It's a beautiful day, isn't it?"" Who is Joseph talking to?",['Patricia'],freeform,attention,
792,pedagogical-2,tiger,12.177,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",tiger,freeform,attention,
792,pedagogical-2,,11.364,,,,,,,introduction,
792,pedagogical-2,NA,10.207,True,predicted_probability,,Imagine that you come across another dax. What are the chances that it has purple petals?,0.52,slider,followup,
792,pedagogical-2,dax,6.42,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
792,pedagogical-2,NA,8.443,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
792,pedagogical-2,NA,17.819,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,yes,mc,followup,
792,pedagogical-2,been_while,9.629,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
792,pedagogical-2,NA,55.914,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","The older researchers told me she knows everything about this planet and that she has been there for a while. She showed me some daxes and when they bloomed she told me they had purple petals.
",freeform,followup,
711,pedagogical-2,Jessica,12.536,,botcaptcha,1,"John says to Jessica: ""It's a beautiful day, isn't it?"" Who is John talking to?","['Jessica ', 'Jessica']",freeform,attention,
711,pedagogical-2,tiger,15.761,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Tiger,freeform,attention,
711,pedagogical-2,,11.33,,,,,,,introduction,
711,pedagogical-2,NA,12.818,True,predicted_probability,,Imagine that you come across another wug. What are the chances that it has purple petals?,0.84,slider,followup,
711,pedagogical-2,wug,11.205,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,followup,
711,pedagogical-2,NA,4.319,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
711,pedagogical-2,NA,7.294,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that wugs could have purple petals before you observed it together?,yes,mc,followup,
711,pedagogical-2,been_while,8.014,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
711,pedagogical-2,NA,54.788,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",You go to a faraway planet to see what plants and animals are there. You meet another researcher and they tell you about wugs. ,freeform,followup,
691,pedagogical-2,Elizabeth,5.407,,botcaptcha,0,"Michael says to Elizabeth: ""It's a beautiful day, isn't it?"" Who is Michael talking to?",['Elizabeth'],freeform,attention,
691,pedagogical-2,shadow,7.904,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
691,pedagogical-2,,330.608,,,,,,,introduction,
691,pedagogical-2,NA,5.12,True,predicted_probability,,Imagine that you come across another fep. What are the chances that it has green feathers?,0.99,slider,followup,
691,pedagogical-2,fep,3.649,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
691,pedagogical-2,NA,2.16,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
691,pedagogical-2,NA,4.679,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,no,mc,followup,
691,pedagogical-2,been_while,4.344,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
691,pedagogical-2,NA,6.688,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",showed g reen feathers on fep,freeform,followup,
719,pedagogical-2,Elizabeth,16.103,,botcaptcha,0,"William says to Elizabeth: ""It's a beautiful day, isn't it?"" Who is William talking to?",['Elizabeth'],freeform,attention,
719,pedagogical-2,shadow,17.746,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Shadow,freeform,attention,
719,pedagogical-2,,10.824,,,,,,,introduction,
719,pedagogical-2,NA,15.275,True,predicted_probability,,Imagine that you come across another wug. What are the chances that it squeaks?,0.79,slider,followup,
719,pedagogical-2,wug,8.317,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,followup,
719,pedagogical-2,NA,3.923,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
719,pedagogical-2,NA,13.703,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,yes,mc,followup,
719,pedagogical-2,been_while,8.915,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
719,pedagogical-2,NA,119.037,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","A researcher(a bear thing) showed me about Wugs, a thing on an alien planet that squeaks. The whole thing left me feeling a bit confused and creeped out.",freeform,followup,
733,pedagogical-2,Mary,25.007,,botcaptcha,0,"James says to Mary: ""It's a beautiful day, isn't it?"" Who is James talking to?",['mary'],freeform,attention,
733,pedagogical-2,tiger,9.367,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",tiger,freeform,attention,
733,pedagogical-2,,4.719,,,,,,,introduction,
733,pedagogical-2,NA,7.79,True,predicted_probability,,Imagine that you come across another fep. What are the chances that it has green feathers?,0.84,slider,followup,
733,pedagogical-2,fep,3.569,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
733,pedagogical-2,NA,2.625,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
733,pedagogical-2,NA,7.97,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,yes,mc,followup,
733,pedagogical-2,been_while,7.796,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
733,pedagogical-2,NA,40.606,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",Another scientist showed me a fep they have green feathers.,freeform,followup,
681,pedagogical-2,Jennifer,9.167,,botcaptcha,0,"Robert says to Jennifer: ""It's a beautiful day, isn't it?"" Who is Robert talking to?",['Jennifer'],freeform,attention,
681,pedagogical-2,shadow,14.006,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
681,pedagogical-2,,6.174,,,,,,,introduction,
681,pedagogical-2,NA,6.693,True,predicted_probability,,Imagine that you come across another dax. What are the chances that it has green feathers?,0.96,slider,followup,
681,pedagogical-2,dax,5.19,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
681,pedagogical-2,NA,4.142,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
681,pedagogical-2,NA,10.63,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,yes,mc,followup,
681,pedagogical-2,been_while,8.398,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
681,pedagogical-2,NA,16.905,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",I listened to a voice recording and answered questions about it.,freeform,followup,
770,pedagogical-2,Jessica,8.793,,botcaptcha,0,"Joseph says to Jessica: ""It's a beautiful day, isn't it?"" Who is Joseph talking to?",['Jessica'],freeform,attention,
770,pedagogical-2,tiger,11.557,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Tiger,freeform,attention,
770,pedagogical-2,,7.679,,,,,,,introduction,
770,pedagogical-2,NA,7.356,True,predicted_probability,,Imagine that you come across another fep. What are the chances that it squeaks?,0.99,slider,followup,
770,pedagogical-2,fep,6.091,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
770,pedagogical-2,NA,3.862,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
770,pedagogical-2,NA,8.983,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that feps could squeak before you observed it together?,yes,mc,followup,
770,pedagogical-2,been_while,10.96,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
770,pedagogical-2,NA,48.26,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","I viewed a short, poorly animated, video of a scientist making a ""fep"" squeak, and then I was asked questions about feps.",freeform,followup,
695,pedagogical-2,Patricia,31.305,,botcaptcha,0,"Joseph says to Patricia: ""It's a beautiful day, isn't it?"" Who is Joseph talking to?",['Patricia'],freeform,attention,
695,pedagogical-2,shadow,7.524,False,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",skyscraper,freeform,attention,
695,pedagogical-2,,20.576,,,,,,,introduction,
695,pedagogical-2,NA,5.666,True,predicted_probability,,Imagine that you come across another fep. What are the chances that it has purple petals?,0.74,slider,followup,
695,pedagogical-2,fep,6.248,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
695,pedagogical-2,NA,3.383,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
695,pedagogical-2,NA,4.503,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,no,mc,followup,
695,pedagogical-2,been_while,32.439,False,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",just_arrived,mc,followup,
695,pedagogical-2,NA,20.529,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",observation a seen,freeform,followup,
687,pedagogical-2,Margaret,9.782,,botcaptcha,0,"Thomas says to Margaret: ""It's a beautiful day, isn't it?"" Who is Thomas talking to?",['Margaret'],freeform,attention,
687,pedagogical-2,shadow,11.456,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Shadow,freeform,attention,
687,pedagogical-2,,138.451,,,,,,,introduction,
687,pedagogical-2,NA,29.033,True,predicted_probability,,Imagine that you come across another dax. What are the chances that it squeaks?,0.49,slider,followup,
687,pedagogical-2,dax,3.901,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
687,pedagogical-2,NA,3.088,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
687,pedagogical-2,NA,6.133,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,yes,mc,followup,
687,pedagogical-2,been_while,7.51,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
687,pedagogical-2,NA,45.548,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","I arrived on a planet and an existing researcher showed me two ""dax"" (daxes) and presented that they squeaked.",freeform,followup,
729,pedagogical-2,Sarah,7.67,,botcaptcha,0,"Thomas says to Sarah: ""It's a beautiful day, isn't it?"" Who is Thomas talking to?",['Sarah'],freeform,attention,
729,pedagogical-2,shadow,8.031,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Shadow,freeform,attention,
729,pedagogical-2,,2.868,,,,,,,introduction,
729,pedagogical-2,NA,7.029,True,predicted_probability,,Imagine that you come across another dax. What are the chances that it squeaks?,0.94,slider,followup,
729,pedagogical-2,dax,4.464,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
729,pedagogical-2,NA,4.446,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
729,pedagogical-2,NA,8.554,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,yes,mc,followup,
729,pedagogical-2,been_while,8.597,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
729,pedagogical-2,NA,18.006,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","The monkey doing research for awhile wanted to show the daxes squeak
",freeform,followup,
793,pedagogical-2,Mary,12.805,,botcaptcha,0,"Joseph says to Mary: ""It's a beautiful day, isn't it?"" Who is Joseph talking to?",['Mary'],freeform,attention,
793,pedagogical-2,shadow,27.567,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
793,pedagogical-2,,14.52,,,,,,,introduction,
793,pedagogical-2,NA,18.886,True,predicted_probability,,Imagine that you come across another dax. What are the chances that it squeaks?,0.62,slider,followup,
793,pedagogical-2,dax,7.403,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
793,pedagogical-2,NA,7.812,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
793,pedagogical-2,NA,11.535,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,yes,mc,followup,
793,pedagogical-2,been_while,17.572,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
793,pedagogical-2,NA,137.98,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",We arrived at a planet and met up with another researcher that was a tiger. They showed us 2 dax that squeak. ,freeform,followup,
774,pedagogical-2,Sarah,9.627,,botcaptcha,0,"Robert says to Sarah: ""It's a beautiful day, isn't it?"" Who is Robert talking to?",['sarah'],freeform,attention,
774,pedagogical-2,shadow,12.149,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
774,pedagogical-2,,10.52,,,,,,,introduction,
774,pedagogical-2,NA,12.828,True,predicted_probability,,Imagine that you come across another dax. What are the chances that it has purple petals?,0.75,slider,followup,
774,pedagogical-2,dax,6.271,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
774,pedagogical-2,NA,5.123,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
774,pedagogical-2,NA,12.727,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,yes,mc,followup,
774,pedagogical-2,been_while,9.02,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
774,pedagogical-2,NA,36.385,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",i went to a new planet to research all the life there i get there and there is already a scientist there they show me some stuff they have discovered,freeform,followup,
700,pedagogical-2,Susan,9.475,,botcaptcha,0,"Joseph says to Susan: ""It's a beautiful day, isn't it?"" Who is Joseph talking to?",['Susan'],freeform,attention,
700,pedagogical-2,shadow,15.234,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
700,pedagogical-2,,9.04,,,,,,,introduction,
700,pedagogical-2,NA,6.972,True,predicted_probability,,Imagine that you come across another fep. What are the chances that it squeaks?,0.89,slider,followup,
700,pedagogical-2,fep,6.381,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
700,pedagogical-2,NA,3.517,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
700,pedagogical-2,NA,8.736,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that feps could squeak before you observed it together?,yes,mc,followup,
700,pedagogical-2,been_while,10.221,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
700,pedagogical-2,NA,42.691,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",The researcher was doing work and he discovered feps which could squeak and decided to show me,freeform,followup,
721,pedagogical-2,Mary,4.707,,botcaptcha,0,"Joseph says to Mary: ""It's a beautiful day, isn't it?"" Who is Joseph talking to?",['Mary'],freeform,attention,
721,pedagogical-2,shadow,12.177,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
721,pedagogical-2,,6.322,,,,,,,introduction,
721,pedagogical-2,NA,5.871,True,predicted_probability,,Imagine that you come across another dax. What are the chances that it has purple petals?,0.5,slider,followup,
721,pedagogical-2,dax,4.573,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
721,pedagogical-2,NA,3.559,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
721,pedagogical-2,NA,13.019,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,yes,mc,followup,
721,pedagogical-2,been_while,8.044,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
