"","workerid","proliferate.condition","age","assess","comments","education","fairprice","gender","language","problems","error"
"55",58,"naive-1",69,"Yes","",4,"1.50","Male","English","no",NA
"56",66,"naive-1",54,"Yes","No",2,".75","Female","English","No",NA
"57",75,"naive-1",25,"Yes","I figured it was likely that blickets have green feathers as a whole because the researcher was new to the planet, but would be less confident if the researcher was not. Good luck with the study!",4,"Yes.","Female","English","No.",NA
"58",36,"accidental-1",34,"Yes","None, but thank you",3,".75","Female","English","no",NA
"59",15,"accidental-1",44,"Yes","",4,"","Female","English","",NA
"60",150,"accidental-1",30,"Yes","no",3,".75","Female","English","no",NA
"61",144,"accidental-1",27,"Yes","",4,"1","Female","English","No",NA
"62",34,"accidental-1",26,"Yes","",3,".65 pounds","Female","English","No",NA
"63",148,"accidental-1",21,"Yes","",3,"yes","Male","Chinese","no",NA
"64",17,"accidental-1",20,"Yes","No",0,"0.50","Male","English","No",NA
"65",142,"accidental-1",23,"Yes","Nope.",3,"$1.00","Male","Chinese","No",NA
"66",20,"accidental-1",20,"Yes","",2,"yes","Female","english","no",NA
"67",30,"accidental-1",61,"Yes","",4,"50 cents","Male","English","no",NA
"68",27,"accidental-1",25,"Yes","",4,"$.50","Female","English","no",NA
"69",140,"accidental-1",24,"Yes","",1,"Yes","Male","English","No",NA
"70",26,"accidental-1",20,"Yes","Why is the researcher a sheep?",2,"0.85","Female","English","no",NA
"71",32,"accidental-1",32,"Yes","",2,"0.50","Female","english","",NA
"72",147,"accidental-1",32,"Yes","Interesting",4,"Bonus","Female","English","No",NA
"73",24,"accidental-1",27,"Yes","",3,"Yes","Female","English","No",NA
"74",22,"accidental-1",29,"Yes","",3,"0.25","Female","English","No",NA
"75",90,"accidental-2",36,"Yes","No",3,"$2","Male","English","No",NA
"76",53,"accidental-2",31,"Yes","",3,"","Female","English","no",NA
"77",135,"accidental-2",29,"No","No it was cute, I am an artist and want to draw Fep's now  haha.",3," £8.40/hr","Female","English","no",NA
"78",57,"accidental-2",30,"Yes","",3,"$1","Male","Cantonese","",NA
"79",93,"accidental-2",52,"Yes","This was fun, thank you for the opportunity to participate ",3,"Yes","Male","English","",NA
"80",139,"accidental-2",28,"Yes","n/a",2,".20","Male","English","no",NA
"81",85,"accidental-2",19,"Yes","",1,"0.8","Female","English","No",NA
"82",134,"accidental-2",29,"Yes","",3,".65","Female","English","No",NA
"83",136,"accidental-2",22,"Yes","No",3,"1.00","Female","English","No",NA
"84",65,"accidental-2",23,"Yes","Fun Study!",3,"0.77","Male","English","No",NA
"85",109,"accidental-2",36,"Yes","no",3,"3.00","Female","English","no",NA
"86",129,"accidental-2",31,"Yes","Interesting study",4,"1.00","Male","English","",NA
"87",81,"accidental-2",19,"Yes","",2,"0.85","Female","English","",NA
"88",138,"accidental-2",37,"Yes","no",3,"1.00","Male","English","no",NA
"89",101,"accidental-2",41,"Yes","None.",4,"$1","Male","English","no",NA
"90",77,"accidental-2",53,"Yes","",3,"0.50","Female","English","no",NA
"91",137,"accidental-2",45,"Yes","",4,"","Male","english","",NA
"92",133,"accidental-2",46,"Yes","",3,"1.00","Male","English","No",NA
"93",106,"accidental-2",30,"Yes","",3,"","Male","English","nope",NA
"94",125,"accidental-2",19,"Yes","",1,"1.00","Male","English","No",NA
"95",73,"accidental-2",66,"Yes","No",2,".50","Female","English","No",NA
"96",69,"accidental-2",22,"Yes","N/A",2,"$1.00","Female","en_US","No",NA
"97",49,"accidental-2",25,"Yes","",3,"","Female","English","",NA
"98",132,"accidental-2",37,"Yes","",3,"1","Male","English","no",NA
"99",113,"accidental-2",25,"Yes","",2,"0.70","Female","english","No",NA
"100",97,"accidental-2",24,"Yes","None",2,"2","Male","English","None",NA
"101",61,"accidental-2",20,"Yes","No",2,".65","Male","English","No",NA
"102",131,"accidental-2",32,"Yes","",2,"","Male","english","",NA
"103",117,"accidental-2",23,"Yes","",3,"1 dollar","Female","English","No",NA
"104",121,"accidental-2",59,"Yes","No comments.",4,"$1.00","Male","English","No.",NA
"105",130,"accidental-2",30,"Yes","",2,"1.00","Male","english","I did not.",NA
"106",149,"pedagogical-1",38,"Yes","No we're ok.",2,"1$","Male","English","No",NA
"107",19,"pedagogical-1",22,"Yes","No.",3,"$2.00","Male","English","No.",NA
"108",31,"pedagogical-1",60,"Yes","Might give me some new ideas for a story! ",2,"$1.00","Female","","no",NA
"109",33,"pedagogical-1",18,"Confused","",2,"$.84","Female","English ","No",NA
"110",21,"pedagogical-1",28,"Yes","No",3,"Yes","Female","English","No",NA
"111",23,"pedagogical-1",28,"Yes","",3,"$0.50","Female","English","no",NA
"112",145,"pedagogical-1",29,"Yes","No other comments",2,".60","Male","English","No problems or bugs in the experiment",NA
"113",25,"pedagogical-1",18,"Confused","",1,"","Male","Polish","",NA
"114",143,"pedagogical-1",35,"Yes","No.",1,"0.65","Male","English","None.",NA
"115",35,"pedagogical-1",26,"Yes","",4,"$0.5","Male","English","",NA
"116",141,"pedagogical-1",44,"Yes","",4,"at least $8/hr","Male","english, greek","no",NA
"117",29,"pedagogical-1",22,"","",3,"","Female","English","No",NA
"119",18,"pedagogical-1",37,"Yes","--",3,"current price seems fair","Other","English","no",NA
"120",146,"pedagogical-1",28,"Yes","",4,"$2","Male","english","",NA
"121",28,"pedagogical-1",25,"Yes","At the start, I thought the blicket was referring to the cloth covering the flower",3,"$1","Female","Chinese","",NA
