"","workerid","proliferate.condition","correct_answer","num_fails","response","trial_time_in_seconds","trial_type","error"
"68",105,"naive-2","tiger",0,"['Tiger']",19.239,"sound_response",""
"69",115,"naive-2","Elizabeth",0,"['Elizabeth']",9.477,"botcaptcha",""
"70",115,"naive-2","tiger",0,"['tiger']",7.731,"sound_response",""
"71",79,"naive-2","Sarah",0,"['Sarah']",13.216,"botcaptcha",""
"72",79,"naive-2","tiger",0,"['tiger']",9.126,"sound_response",""
"73",94,"naive-2","Linda",0,"['Linda']",9.097,"botcaptcha",""
"74",94,"naive-2","tiger",0,"['Tiger']",20.026,"sound_response",""
"75",74,"naive-2","Susan",0,"['Susan']",15.117,"botcaptcha",""
"76",74,"naive-2","shadow",0,"['Shadow']",35.379,"sound_response",""
"77",111,"naive-2","Susan",1,"['NO idea', 'Susan']",34.607,"botcaptcha",""
"78",111,"naive-2","tiger",1,"['skyscraper', 'Tiger']",48.59,"sound_response",""
"79",119,"naive-1","Linda",0,"['Linda']",8.861,"botcaptcha",""
"80",119,"naive-1","shadow",0,"['shadow']",31.562,"sound_response",""
"81",98,"naive-1","Mary",0,"['Mary']",24.745,"botcaptcha",""
"82",98,"naive-1","tiger",0,"['tiger']",42.309,"sound_response",""
"83",83,"naive-1","Barbara",0,"['Barbara']",8.28,"botcaptcha",""
"84",83,"naive-1","tiger",0,"['tiger']",21.317,"sound_response",""
"85",91,"naive-1","Jessica",0,"['Jessica']",8.015,"botcaptcha",""
"86",91,"naive-1","shadow",0,"['shadow']",18.221,"sound_response",""
"87",54,"naive-1","Sarah",0,"['Sarah']",161.273,"botcaptcha",""
"88",54,"naive-1","tiger",0,"['Tiger']",37.424,"sound_response",""
"89",114,"naive-1","Susan",0,"['Susan']",16.083,"botcaptcha",""
"90",114,"naive-1","shadow",0,"['shadow']",30.01,"sound_response",""
"91",95,"naive-1","Jennifer",0,"['Jennifer']",6.352,"botcaptcha",""
"92",95,"naive-1","tiger",0,"['tiger']",5.142,"sound_response",""
"93",62,"naive-1","Margaret",0,"['Margaret']",7.536,"botcaptcha",""
"94",62,"naive-1","tiger",0,"['tiger']",7.734,"sound_response",""
"95",110,"naive-1","Susan",0,"['Susan']",17.599,"botcaptcha",""
"96",110,"naive-1","shadow",0,"['shadow']",55.023,"sound_response",""
"97",78,"naive-1","Barbara",0,"['Barbara']",9.274,"botcaptcha",""
"98",78,"naive-1","tiger",0,"['tiger']",11.107,"sound_response",""
"99",70,"naive-1","Jessica",0,"['Jessica']",12.999,"botcaptcha",""
"100",70,"naive-1","shadow",0,"['Shadow']",75.507,"sound_response",""
"101",122,"naive-1","Margaret",0,"['Margaret']",33.973,"botcaptcha",""
"102",122,"naive-1","tiger",0,"['tiger']",10.568,"sound_response",""
"103",86,"naive-1","Linda",0,"['Linda']",12.304,"botcaptcha",""
"104",86,"naive-1","shadow",1,"['Shadow ', 'shadow']",100.405,"sound_response",""
"105",107,"naive-1","Patricia",0,"['patricia']",6.946,"botcaptcha",""
"106",107,"naive-1","shadow",0,"['shadow']",11.693,"sound_response",""
"107",50,"naive-1","Mary",0,"['Mary']",6.371,"botcaptcha",""
"108",50,"naive-1","tiger",0,"['Tiger']",10.916,"sound_response",""
"109",58,"naive-1","Margaret",0,"['Margaret']",22.39,"botcaptcha",""
"110",58,"naive-1","tiger",0,"['tiger']",116.023,"sound_response",""
"111",66,"naive-1","Elizabeth",0,"['Elizabeth']",10.649,"botcaptcha",""
"112",66,"naive-1","shadow",0,"['shadow']",25.02,"sound_response",""
"113",75,"naive-1","Barbara",0,"['Barbara']",13.404,"botcaptcha",""
"114",75,"naive-1","shadow",0,"['shadow']",63.437,"sound_response",""
"115",36,"accidental-1","",NA,"",NA,"","Field catch_trials not present for participant!"
