"","workerid","proliferate.condition","agent","background","item_name","item_presentation_condition","n_examples","object","property","speaker","trial_num.x","trial_time_in_seconds.x","trial_type","error.x","correct_answer","is_correct","prompt","response","response_time_in_seconds","response_type","trial_num.y","trial_time_in_seconds.y","error.y"
"69",131,"accidental-2","Tiger",6,"fep","accidental",2,"artifact","squeaking","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.88,15.744,"slider",2,50.032,NA
"70",131,"accidental-2","Dog",6,"fep","accidental",2,"artifact","squeaking","tg",2,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.88,15.744,"slider",2,50.032,NA
"71",132,"accidental-2","",NA,"","",NA,"","","",0,5.057,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.72,14.35,"slider",2,86.923,NA
"72",132,"accidental-2","Sheep",4,"fep","accidental",2,"artifact","squeaking","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.72,14.35,"slider",2,86.923,NA
"73",132,"accidental-2","Elephant",4,"fep","accidental",2,"artifact","squeaking","mh",2,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.72,14.35,"slider",2,86.923,NA
"74",133,"accidental-2","",NA,"","",NA,"","","",0,7.518,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.9,7.244,"slider",2,54.497,NA
"75",133,"accidental-2","Pig",2,"fep","accidental",2,"flower","purple petals","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.9,7.244,"slider",2,54.497,NA
"76",133,"accidental-2","Monkey",2,"fep","accidental",2,"flower","purple petals","mh",2,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.9,7.244,"slider",2,54.497,NA
"77",134,"accidental-2","",NA,"","",NA,"","","",0,10.674,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.83,8.202,"slider",2,52.722,NA
"78",134,"accidental-2","Tiger",2,"fep","accidental",2,"bird","green feathers","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.83,8.202,"slider",2,52.722,NA
"79",134,"accidental-2","Bear",2,"fep","accidental",2,"bird","green feathers","tg",2,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.83,8.202,"slider",2,52.722,NA
"80",135,"accidental-2","",NA,"","",NA,"","","",0,15.193,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.71,9.199,"slider",2,53.822,NA
"81",135,"accidental-2","Elephant",1,"fep","accidental",2,"flower","purple petals","tg",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.71,9.199,"slider",2,53.822,NA
"82",135,"accidental-2","Sheep",1,"fep","accidental",2,"flower","purple petals","sb",2,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.71,9.199,"slider",2,53.822,NA
"83",136,"accidental-2","",NA,"","",NA,"","","",0,11.554,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.62,12.76,"slider",2,58.97,NA
"84",136,"accidental-2","Sheep",2,"dax","accidental",2,"bird","green feathers","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.62,12.76,"slider",2,58.97,NA
"85",136,"accidental-2","Dog",2,"dax","accidental",2,"bird","green feathers","tg",2,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.62,12.76,"slider",2,58.97,NA
"86",137,"accidental-2","",NA,"","",NA,"","","",0,1.543,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has green feathers?",1,14.744,"slider",2,69.566,NA
"87",137,"accidental-2","Bear",8,"blicket","accidental",2,"bird","green feathers","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has green feathers?",1,14.744,"slider",2,69.566,NA
"88",137,"accidental-2","Sheep",8,"blicket","accidental",2,"bird","green feathers","tg",2,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has green feathers?",1,14.744,"slider",2,69.566,NA
"89",138,"accidental-2","",NA,"","",NA,"","","",0,2.908,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.9,4.981,"slider",2,51.728,NA
"90",138,"accidental-2","Cat",8,"blicket","accidental",2,"artifact","squeaking","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.9,4.981,"slider",2,51.728,NA
"91",138,"accidental-2","Elephant",8,"blicket","accidental",2,"artifact","squeaking","sb",2,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.9,4.981,"slider",2,51.728,NA
"92",139,"accidental-2","",NA,"","",NA,"","","",0,32.348,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.75,11.639,"slider",2,51.871,NA
"93",139,"accidental-2","Monkey",1,"fep","accidental",2,"bird","green feathers","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.75,11.639,"slider",2,51.871,NA
"94",139,"accidental-2","Bear",1,"fep","accidental",2,"bird","green feathers","sb",2,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.75,11.639,"slider",2,51.871,NA
"97",140,"accidental-1","",NA,"","",NA,"","","",0,2.105,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.69,7.664,"slider",1,24.77,NA
"98",140,"accidental-1","Cat",5,"blicket","accidental",1,"artifact","squeaking","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.69,7.664,"slider",1,24.77,NA
"99",141,"pedagogical-1","",NA,"","",NA,"","","",0,16.866,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.59,12.788,"slider",1,60.61,NA
"100",141,"pedagogical-1","Monkey",8,"fep","pedagogical",1,"bird","green feathers","tg",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.59,12.788,"slider",1,60.61,NA
"101",142,"accidental-1","",NA,"","",NA,"","","",0,11.892,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.39,6.722,"slider",1,25.76,NA
"102",142,"accidental-1","Tiger",3,"blicket","accidental",1,"artifact","squeaking","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.39,6.722,"slider",1,25.76,NA
"103",143,"pedagogical-1","",NA,"","",NA,"","","",0,6.92,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it squeaks?",0.93,7.387,"slider",1,24.619,NA
"104",143,"pedagogical-1","Cat",7,"dax","pedagogical",1,"artifact","squeaking","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it squeaks?",0.93,7.387,"slider",1,24.619,NA
"105",144,"accidental-1","",NA,"","",NA,"","","",0,32.276,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.89,9.508,"slider",1,33.003,NA
"106",144,"accidental-1","Monkey",5,"fep","accidental",1,"flower","purple petals","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.89,9.508,"slider",1,33.003,NA
"107",145,"pedagogical-1","",NA,"","",NA,"","","",0,18.152,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.85,4.708,"slider",1,23.444,NA
"108",145,"pedagogical-1","Sheep",7,"fep","pedagogical",1,"bird","green feathers","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.85,4.708,"slider",1,23.444,NA
"109",146,"pedagogical-1","",NA,"","",NA,"","","",0,19.792,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.5,10.244,"slider",1,31.013,NA
"110",146,"pedagogical-1","Tiger",10,"blicket","pedagogical",1,"flower","purple petals","tg",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.5,10.244,"slider",1,31.013,NA
"111",147,"accidental-1","",NA,"","",NA,"","","",0,1.517,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.87,8.652,"slider",1,43.922,NA
"112",147,"accidental-1","Pig",10,"dax","accidental",1,"flower","purple petals","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.87,8.652,"slider",1,43.922,NA
"113",148,"accidental-1","",NA,"","",NA,"","","",0,4.292,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.51,7.08,"slider",1,26.526,NA
"114",148,"accidental-1","Monkey",2,"dax","accidental",1,"bird","green feathers","tg",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.51,7.08,"slider",1,26.526,NA
"115",149,"pedagogical-1","",NA,"","",NA,"","","",0,5.432,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.97,7.602,"slider",1,26.202,NA
"116",149,"pedagogical-1","Dog",6,"fep","pedagogical",1,"artifact","squeaking","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.97,7.602,"slider",1,26.202,NA
"117",15,"accidental-1","",NA,"","",NA,"","","",0,4.763,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.48,8.089,"slider",1,25.24,NA
"118",15,"accidental-1","Dog",4,"blicket","accidental",1,"flower","purple petals","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.48,8.089,"slider",1,25.24,NA
"119",150,"accidental-1","",NA,"","",NA,"","","",0,9.768,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.66,11.335,"slider",1,27.904,NA
"120",150,"accidental-1","Bear",7,"dax","accidental",1,"bird","green feathers","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.66,11.335,"slider",1,27.904,NA
"121",17,"accidental-1","",NA,"","",NA,"","","",0,16.911,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.48,26.676,"slider",1,26.848,NA
"122",17,"accidental-1","Pig",3,"dax","accidental",1,"flower","purple petals","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.48,26.676,"slider",1,26.848,NA
"123",18,"pedagogical-1","",NA,"","",NA,"","","",0,8.155,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.7,16.092,"slider",1,30.176,NA
"124",18,"pedagogical-1","Tiger",4,"dax","pedagogical",1,"flower","purple petals","tg",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.7,16.092,"slider",1,30.176,NA
"125",19,"pedagogical-1","",NA,"","",NA,"","","",0,5.19,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.99,6.43,"slider",1,23.988,NA
"126",19,"pedagogical-1","Cat",3,"fep","pedagogical",1,"artifact","squeaking","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.99,6.43,"slider",1,23.988,NA
"127",20,"accidental-1","",NA,"","",NA,"","","",0,6.161,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.87,4.661,"slider",1,24.564,NA
"128",20,"accidental-1","Cat",10,"blicket","accidental",1,"artifact","squeaking","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.87,4.661,"slider",1,24.564,NA
"129",21,"pedagogical-1","",NA,"","",NA,"","","",0,9.042,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.9,5.853,"slider",1,24.426,NA
"130",21,"pedagogical-1","Tiger",6,"dax","pedagogical",1,"flower","purple petals","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.9,5.853,"slider",1,24.426,NA
"131",22,"accidental-1","",NA,"","",NA,"","","",0,9.082,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.73,14.175,"slider",1,26.212,NA
"132",22,"accidental-1","Dog",7,"blicket","accidental",1,"flower","purple petals","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.73,14.175,"slider",1,26.212,NA
"133",23,"pedagogical-1","",NA,"","",NA,"","","",0,2.802,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.99,4.619,"slider",1,21.884,NA
"134",23,"pedagogical-1","Sheep",10,"blicket","pedagogical",1,"artifact","squeaking","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.99,4.619,"slider",1,21.884,NA
"135",24,"accidental-1","",NA,"","",NA,"","","",0,4.342,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has green feathers?",0.57,6.49,"slider",1,31.455,NA
"136",24,"accidental-1","Tiger",5,"blicket","accidental",1,"bird","green feathers","tg",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has green feathers?",0.57,6.49,"slider",1,31.455,NA
"137",25,"pedagogical-1","",NA,"","",NA,"","","",0,8.543,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",1,8.665,"slider",1,23.901,NA
"138",25,"pedagogical-1","Tiger",4,"fep","pedagogical",1,"artifact","squeaking","tg",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",1,8.665,"slider",1,23.901,NA
