workerid,proliferate.condition,age,assess,comments,education,fairprice,gender,language,problems,error
610,generic,65,Yes,,3,priceless,Female,english,no,
618,generic,20,Yes,,1,,Female,English,,
525,pedagogical-4,29,Yes,,1,.75,Male,Englisg,,
559,pedagogical-4,21,No,nope,1,i dont even know,Male,english,no,
621,pedagogical-4,32,Yes,,4,1.00,Female,english,no,
527,pedagogical-4,35,Yes,thanks!,4,yes,Male,Spanish,none at all,
609,pedagogical-4,22,Yes,,2,,Female,Hmong and English,No,
605,pedagogical-4,19,Yes,No,1,$2,Female,English,No,
662,pedagogical-4,19,Yes,:),2,Yes,Male,English,no,
517,pedagogical-4,28,Yes,,3,,Female,English,No,
588,pedagogical-4,34,Yes,"Should participants just assume that ""wugs"" are all the same and that all wugs are guaranteed to bloom with purple flowers for simplicity's sake?",3,0.63,Male,English,,
633,pedagogical-4,21,Yes,,2,0.63,Female,English,,
537,pedagogical-4,21,Yes,,3,.25,Female,english,no,
547,pedagogical-4,50,Yes,,4,USD$1,Male,english,no,
562,pedagogical-4,43,Yes,No,3,$.50,Male,Portuguese,No,
601,pedagogical-4,22,Confused,,1,,Male,English,,
533,pedagogical-4,48,Yes,Great,3,fair,Male,English,No,
521,pedagogical-4,52,Yes,No,4,yes,Male,English,No,
658,pedagogical-4,40,No,,3,yes,Male,English,No,
645,pedagogical-4,31,Yes,,4,$1,Female,English,No,
570,pedagogical-4,20,Yes,,1,,Male,english,no,
580,pedagogical-4,45,Yes,Thank you.,3,None.,Male,English,No.,
641,pedagogical-4,20,Yes,The tone of the voice was curious,2,$1.00,Male,English,No,
597,pedagogical-4,29,Yes,No,1,$2,Male,English,No,
529,pedagogical-4,23,Yes,,3,$1,Male,English,,
653,pedagogical-4,28,Yes,No comments,3,$1,Female,English,No problems,
625,pedagogical-4,23,Yes,"Was simple, tested my memory. ",1,$1.00,Female,English,no,
511,pedagogical-4,36,Yes,No,3,2.50,Male,English,no,
523,pedagogical-4,19,Yes,,2,0.50 cents,Female,English,,
513,pedagogical-4,49,Yes,,4,0.20 (?) Whatever the market will bear :),Male,English,,
539,pedagogical-4,41,Yes,Interesting,3,great,Male,English,no,
629,pedagogical-4,21,Yes,,2,$1,Male,English,no,
566,pedagogical-4,25,Yes,,4,$0.75,Male,English,n/a,
589,pedagogical-4,25,Yes,n/a,4,$.75,Male,english,no,
519,pedagogical-4,20,Yes,,2,1.00,Male,English,,
515,pedagogical-4,23,No,,2,$0.79,Male,English,no,
545,pedagogical-4,26,Yes,,4,.50,Female,English,No,
649,pedagogical-4,32,Yes,,3,0.65,Male,English,,
557,pedagogical-4,24,Yes,No,3,1.00,Female,Korean,No,
637,pedagogical-4,30,No,no,3,.75,Female,English,no,
551,pedagogical-4,29,No,,3,yes,Female,English,no,
541,pedagogical-4,20,Yes,,2,0.63,Female,Chinese,N/A,
593,pedagogical-4,42,Yes,no,3,.55,Female,english,no,
584,pedagogical-4,39,Yes,none,2,.50,Female,English,no,
578,pedagogical-4,38,Yes,,3,0.50,Female,english,no,
574,pedagogical-4,27,Yes,,1,$.50,Female,English,no,
576,pedagogical-4,48,Yes,,1,1.00,Male,English,no issues,
543,pedagogical-4,28,Yes,Nope,3,$1.00,Male,English,Nope,
531,pedagogical-4,43,Yes,,3,.50,Male,English,None,
613,pedagogical-4,47,Yes,nice survey,4,yes,Male,english,no,
617,pedagogical-4,54,Yes,,2,1.00,Female,english,,
535,pedagogical-4,30,Yes,,3,£0.63,Male,English,no,
608,gen+ped,53,Yes,I have a good experience in this study,3,yes,Male,English,no,
600,gen+ped,33,Yes,,3,$0.40,Male,English,No,
624,gen+ped,40,Yes,,3,1.00,Female,English,no,
587,gen+ped,19,Yes,"No, I don't have any additional comments.",2,$0.3,Male,English,No,
644,gen+ped,20,Yes,No.,2,What you are paying is fair enough.,Female,English,No.,
596,gen+ped,46,Yes,no,4,1.00,Female,English,no,
565,gen+ped,20,Yes,,2,63 cents,Female,English,No.,
604,gen+ped,33,Yes,,2,1.00,Male,English,No,
583,gen+ped,42,Yes,no,4,yes,Female,English,no,
636,gen+ped,21,Yes,Nope but thank you!,1,0.50,Female,English,No,
652,gen+ped,21,Yes,,3,1.00,Male,English,No,
640,gen+ped,45,Yes,no,3,.50,Female,english,no,
661,gen+ped,20,Yes,,2,yes,Male,Chinese,no,
657,gen+ped,19,Yes,,2,$0.25,Male,English,No,
616,gen+ped,32,Yes,,3,0.34 pounds,Male,American English,No,
579,gen+ped,35,Yes,,3,.5,Female,English,no,
620,gen+ped,19,Yes,,2,£0.63,Male,English,no,
592,gen+ped,24,Yes,,2,,Male,English,No,
569,gen+ped,29,Yes,,3,0.63,Male,english,no,
612,gen+ped,46,Yes,,3,60,Male,english,no,
628,gen+ped,32,Yes,,4,$.5,Female,English,No,
648,gen+ped,39,Yes,,3,,Male,english,,
573,gen+ped,31,Yes,,3,$1,Male,English,no,
561,gen+ped,26,Yes,"Think you for the opportunity, it was very interesting",1,.63,Female,English,no,
632,gen+ped,20,Yes,,1,0.63,Female,English,No,
